especievalida,nombrecomun,estadomapa,ambiente,validacionambiente,longitud,latitud
Colinus virginianus,codorniz cotuí,SONORA,Terrestre,Válido,-111.115,30.5483333
Columba livia,paloma doméstica,SONORA,Terrestre,Válido,-113.5288954,31.2964638
Columbina passerina,"tortolita pico corto, tortolita pico rojo, tórtola coquita",SONORA,Terrestre,Válido,-109.544274,28.4573233
Contopus pertinax,"papamoscas José María, pibí tengofrío",SONORA,Terrestre,Válido,-109.2345923,26.405194
Glaucidium palmarum,tecolote colimense,SONORA,Terrestre,Válido,-108.7221233,27.1190817
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",SONORA,Terrestre,Válido,-108.913514,27.014831
Junco phaeonotus,junco ojos de lumbre,SONORA,Terrestre,Válido,-109.037778,28.332222
Lampornis clemenciae,colibrí garganta azul,SONORA,Terrestre,Válido,-108.936473,27.026758
Meleagris gallopavo,guajolote norteño,SONORA,Terrestre,Válido,-110.1622785,30.0175789
Ortalis wagleri,chachalaca vientre castaño,SONORA,Terrestre,Válido,-108.733635,27.0416517
Peucaea botterii,zacatonero de Botteri,SONORA,Terrestre,Válido,-109.90598,31.22094
Piranga erythrocephala,"piranga cabeza roja, tangara cabeza roja",SONORA,Terrestre,Válido,-108.5533333,27.03
Polioptila bilineata,perlita tropical,SONORA,Terrestre,Válido,-110.6166667,29.9166667
Polioptila nigriceps,perlita sinaloense,SONORA,Terrestre,Válido,-109.5463004,28.4557269
Saucerottia cyanocephala,colibrí corona azul,SONORA,Terrestre,Válido,-108.7416667,27.5066667
Sturnella magna,pradero tortillaconchile,SONORA,Terrestre,Válido,-110.046,31.1604
Sturnus vulgaris,estornino pinto,SONORA,Terrestre,Válido,-113.5288954,31.2964638
Sula leucogaster,bobo café,SONORA,Marino; Salobre,Válido,-109.2345923,26.405194
Tigrisoma mexicanum,garza tigre mexicana,SONORA,Dulceacuícola,Válido,-108.6923865,27.0610482
Toxostoma bendirei,cuicacoche pico corto,SONORA,Terrestre,Válido,-109.2345923,26.405194
Aimophila ruficeps,"zacatonero corona canela, zacatonero corona rufa",SONORA,Terrestre,Válido,-108.7134129,27.1176433
Baeolophus wollweberi,carbonero embridado,SONORA,Terrestre,Válido,-108.7134129,27.1176433
Calocitta formosa,"urraca cara blanca, urraca-hermosa cara blanca",SONORA,Terrestre,Válido,-109,27.5
Campylorhynchus gularis,matraca serrana,SONORA,Terrestre,Válido,-109.3565667,28.4806333
Cardinalis sinuatus,"cardenal desértico, cardenal pardo",SONORA,Terrestre,Válido,-109.5463004,28.4557269
Cardinalis sinuatus sinuatus,cardenal pardo,SONORA,Terrestre,Válido,-110.9366667,31.13
Coragyps atratus,zopilote común,SONORA,Terrestre,Válido,-109.544274,28.4573233
Elanus leucurus,milano cola blanca,SONORA,Terrestre,Válido,-109.2345923,26.405194
Geococcyx velox,correcaminos tropical,SONORA,Terrestre,Válido,-108.915597,26.773151
Geranoaetus albicaudatus,aguililla cola blanca,SONORA,Terrestre,Válido,-109.1608429,27.0982539
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",SONORA,Terrestre,Válido,-109.5463004,28.4557269
Melanerpes hypopolius,"carpintero del balsas, carpintero pecho gris",SONORA,Terrestre,Válido,-109.6333,26.8333
Melozone aberti,"rascador enmascarado, toquí enmascarado",SONORA,Terrestre,Válido,-114.9530108,32.4146129
Parabuteo unicinctus,aguililla rojinegra,SONORA,Terrestre,Válido,-109.544274,28.4573233
Patagioenas flavirostris,paloma morada,SONORA,Terrestre,Válido,-110.2309334,27.5837904
Patagioenas flavirostris flavirostris,paloma morada,SONORA,Terrestre,Válido,-108.7,26.9666667
Peucedramus taeniatus,ocotero enmascarado,SONORA,Terrestre,Válido,-108.7134129,27.1176433
Poecile sclateri,carbonero mexicano,SONORA,Terrestre,Válido,-109.037778,28.332222
Polioptila albiloris,perlita pispirria,SONORA,Terrestre,Válido,-108.5533333,27.03
Sitta carolinensis,"bajapalos pecho blanco, sita pecho blanco",SONORA,Terrestre,Válido,-109.037778,28.332222
Sitta pygmaea,"bajapalos enano, sita enana",SONORA,Terrestre,Válido,-108.9554835,28.7252552
Sula dactylatra,bobo enmascarado,SONORA,Marino; Salobre,Válido,-111.0577453,27.9478994
Thryophilus sinaloa,"chivirín sinaloense, saltapared sinaloense",SONORA,Terrestre,Válido,-109.5463004,28.4557269
Toxostoma curvirostre,cuicacoche pico curvo,SONORA,Terrestre,Válido,-109.5463004,28.4557269
Amazona finschi,loro corona lila,SONORA,Terrestre,Válido,-108.7333327,27.5083327
Amphispizopsis quinquestriata,zacatonero cinco rayas,SONORA,Terrestre,Válido,-109.67802,28.57998
Aphelocoma wollweberi,chara pecho gris,SONORA,Terrestre,Válido,-111.1014332,27.9400528
Corvus imparatus,cuervo tamaulipeco,SONORA,Terrestre,Válido,-109.27167,26.74
Corvus sinaloae,cuervo sinaloense,SONORA,Terrestre,Válido,-109.2345923,26.405194
Cynanthus latirostris,colibrí pico ancho,SONORA,Terrestre,Válido,-109.544274,28.4573233
Cyrtonyx montezumae,codorniz de Moctezuma,SONORA,Terrestre,Válido,-109.959707,30.935929
Falco rufigularis,"halcón enano, halcón murcielaguero",SONORA,Terrestre,Válido,-108.7,26.9666667
Glaucidium gnoma,tecolote serrano,SONORA,Terrestre,Válido,-109.1608429,27.0982539
Jacana spinosa,jacana norteña,SONORA,Dulceacuícola,Válido,-109.4825387,27.0949335
Larus heermanni,"gaviota ploma, gaviota plomiza",SONORA,Dulceacuícola; Marino,Válido,-113.5288954,31.2964638
Leptotila verreauxi,paloma arroyera,SONORA,Terrestre,Válido,-108.6836242,26.9318651
Melozone fusca,"rascador viejita, toquí pardo",SONORA,Terrestre,Válido,-109.5463004,28.4557269
Myiozetetes similis,"Luis gregario, luisito común",SONORA,Terrestre,Válido,-109.5542433,26.7126267
Pheugopedius felix,"chivirín feliz, saltapared feliz",SONORA,Terrestre,Válido,-109.2345923,26.405194
Piranga bidentata,"piranga dorso rayado, tangara dorso rayado",SONORA,Terrestre,Válido,-108.7360132,27.0696352
Streptoprocne rutila,vencejo cuello castaño,SONORA,Terrestre,Válido,-108.7856019,27.0031802
Streptoprocne semicollaris,vencejo nuca blanca,SONORA,Terrestre,Válido,-111.1014332,27.9400528
Sula sula,bobo patas rojas,SONORA,Marino; Salobre,Válido,-111.4534142,28.3614916
Volatinia jacarina,semillero brincador,SONORA,Terrestre,Válido,-108.7338229,27.0413892
Aeronautes saxatalis saxatalis,vencejo pecho blanco,SONORA,Terrestre,Válido,-112.84,31.8583333
Asio stygius,búho cara oscura,SONORA,Terrestre,Válido,-109.3152731,28.0520085
Auriparus flaviceps,baloncillo,SONORA,Terrestre,Válido,-109.544274,28.4573233
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",SONORA,Terrestre,Válido,-108.7360132,27.0696352
Buteogallus solitarius,águila solitaria,SONORA,Terrestre,Válido,-108.6133333,26.8616667
Callipepla douglasii douglasii,codorniz cresta dorada,SONORA,Terrestre,Válido,-108.7,26.9666667
Camptostoma imberbe,"mosquerito chillón, mosquero lampiño",SONORA,Terrestre,Válido,-109.2345923,26.405194
Chloroceryle americana,martín pescador verde,SONORA,Dulceacuícola,Válido,-109.5463004,28.4557269
Coccothraustes vespertinus,picogrueso norteño,SONORA,Terrestre,Válido,-108.95,30.2066667
Columbina talpacoti,"tortolita canela, tórtola rojiza",SONORA,Terrestre,Válido,-109.5463004,28.4557269
Corvus corax,cuervo común,SONORA,Terrestre,Válido,-113.5288954,31.2964638
Dryobates arizonae,carpintero de Arizona,SONORA,Terrestre,Válido,-108.7264852,27.1105731
Eupsittula canicularis,perico frente naranja,SONORA,Terrestre,Válido,-110.9181404,27.9209379
Glaucidium brasilianum,tecolote bajeño,SONORA,Terrestre,Válido,-109.039894,27.065439
Icterus pectoralis,"bolsero pecho manchado, calandria pecho moteado",SONORA,Terrestre,Válido,-108.8816667,26.94
Megascops asio,"tecolote del este, tecolote oriental",SONORA,Terrestre,Válido,-110.2716667,29.2216667
Melanotis caerulescens,mulato azul,SONORA,Terrestre,Válido,-109.217425,26.438721
Myadestes unicolor,clarín unicolor,SONORA,Terrestre,Válido,-110.89891,27.91856
Myioborus miniatus miniatus,chipe de montaña,SONORA,Terrestre,Válido,-108.7,26.9666667
Myioborus pictus,"chipe ala blanca, pavito alas blancas",SONORA,Terrestre,Válido,-108.7134129,27.1176433
Oreothlypis superciliosa,"chipe cejas blancas, parula ceja blanca",SONORA,Terrestre,Válido,-109.037778,28.332222
Ortalis vetula,"chachalaca oriental, chachalaca vetula",SONORA,Terrestre,Válido,-108.80542,27.005791
Peucaea carpalis,"zacatonero ala rufa, zacatonero hombros canela",SONORA,Terrestre,Válido,-109.5463004,28.4557269
Phasianus colchicus,faisán de collar,SONORA,Terrestre,Válido,-114.8566103,32.4314838
Ridgwayia pinicola,"mirlo azteca, mirlo pinto",SONORA,Terrestre,Válido,-109.1608429,27.0982539
Salpinctes obsoletus,"chivirín saltarroca, saltapared de rocas",SONORA,Terrestre,Válido,-109.2345923,26.405194
Saucerottia beryllina,colibrí berilo,SONORA,Terrestre,Válido,-108.939309,27.029688
Spinus psaltria,"jilguerito dominico, jilguero dominico",SONORA,Terrestre,Válido,-109.2345923,26.405194
Sula nebouxii,bobo patas azules,SONORA,Marino; Salobre,Válido,-109.2345923,26.405194
Trogon collaris,"coa de collar, trogón de collar",SONORA,Terrestre,Válido,-108.8166667,26.9916667
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",SONORA,Terrestre,Válido,-109.2345923,26.405194
Urile penicillatus,cormorán de Brandt,SONORA,Marino,Válido con tolerancia,-113.3980194,31.2737857
Aegolius acadicus,"tecolote afilador, tecolote oyamelero norteño",SONORA,Terrestre,Válido,-113,31.5
Aeronautes saxatalis,vencejo pecho blanco,SONORA,Terrestre,Válido,-109.001568,31.279954
Attila spadiceus,"Atila, mosquero atila",SONORA,Terrestre,Válido,-108.733635,27.0416517
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",SONORA,Terrestre,Válido,-108.7360132,27.0696352
Buteo brachyurus,aguililla cola corta,SONORA,Terrestre,Válido,-108.691963,26.930772
Campephilus guatemalensis,"carpintero pico plata, carpintero pico plateado",SONORA,Terrestre,Válido,-109.039894,27.065439
Chlorophonia elegantissima,"eufonia capucha azul, eufonia gorra azul",SONORA,Terrestre,Válido,-108.7264852,27.1105731
Coccothraustes abeillei,picogrueso encapuchado,SONORA,Terrestre,Válido,-110.7316667,30.9366667
Coccyzus minor,cuclillo manglero,SONORA,Terrestre,Válido,-109.0401449,27.0659734
Crotophaga sulcirostris,garrapatero pijuy,SONORA,Terrestre,Válido,-111.0789827,29.0363185
Cyanocorax dickeyi,chara pinta,SONORA,Terrestre,Válido,-108.94,27.0216667
Dendrocygna bicolor,pijije canelo,SONORA,Dulceacuícola,Válido,-111.0365515,29.0579
Dryocopus lineatus,carpintero lineado,SONORA,Terrestre,Válido,-108.7360132,27.0696352
Fregata magnificens,"fragata magnífica, fragata tijereta",SONORA,Marino,Válido con tolerancia,-109.2345923,26.405194
Geococcyx californianus,correcaminos norteño,SONORA,Terrestre,Válido,-109.2345923,26.405194
Geothlypis poliocephala,mascarita pico grueso,SONORA,Terrestre,Válido,-109.6054205,27.1166934
Gymnorhinus cyanocephalus,chara piñonera,SONORA,Terrestre,Válido,-111.55,31.4383333
Haemorhous mexicanus,pinzón mexicano,SONORA,Terrestre,Válido,-109.5463004,28.4557269
Herpetotheres cachinnans,halcón guaco,SONORA,Terrestre,Válido,-108.733635,27.0416517
Icterus gularis,"bolsero de Altamira, calandria dorso negro mayor",SONORA,Terrestre,Válido,-108.98667,30.11667
Laterallus jamaicensis,polluela negra,SONORA,Dulceacuícola,Válido,-114.719754,31.926729
Lepidocolaptes leucogaster leucogaster,trepatroncos escarchado,SONORA,Terrestre,Válido,-109.3166667,28.1166667
Melanerpes formicivorus,carpintero bellotero,SONORA,Terrestre,Válido,-108.7134129,27.1176433
Momotus mexicanus,"momoto corona café, momoto corona canela",SONORA,Terrestre,Válido,-108.686389,26.934687
Myiarchus nuttingi,"papamoscas de Nutting, papamoscas huí",SONORA,Terrestre,Válido,-108.946781,27.043627
Myiopsitta monachus,perico monje argentino,SONORA,Terrestre,Válido,-110.9803856,29.0641591
