especievalida,nombrecomun,longitud,latitud
Buteo jamaicensis costaricensis,aguililla cola roja,-101.93,21.2933333
Buteo jamaicensis fuertesi,aguililla cola roja,-102.5666667,29.05
Buteo jamaicensis fumosus,aguililla cola roja,-106.4133333,21.4533333
Buteo jamaicensis hadropus,aguililla cola roja,-102.3883333,19.2916667
Buteo jamaicensis socorroensis,aguililla cola roja,-110.9833333,18.75
Buteo lagopus,aguililla ártica,-108.0029389,31.1033683
Buteo lineatus,aguililla pecho rojo,-100.0923359,25.6678167
Buteo lineatus elegans,aguililla listada vientre rojo,-115.5683333,30.0533333
Buteo lineatus lineatus,aguililla pecho rojo,-104.4383333,19.6333333
Buteo lineatus texanus,aguililla pecho rojo,-97.1,18.85
Buteo nitidus plagiatus,aguililla gris,-91.0730556,16.0789722
Buteo plagiatus,aguililla gris,-100.1943898,17.4221123
Buteo platypterus,aguililla alas anchas,-100.1943898,17.4221123
Buteo platypterus platypterus,aguililla ala ancha,-94.8833333,18.3166667
Buteo regalis,aguililla real,-100.581523,25.021968
Buteo swainsoni,aguililla de Swainson,-110.099659,23.3950452
Buteogallus anthracinus,aguililla negra menor,-100.1943898,17.4221123
Buteogallus anthracinus anthracinus,aguililla-negra menor,-107.0166667,24.4183333
Buteogallus anthracinus subtilis,aguililla negra menor,-90.3743515,20.8658294
Buteogallus solitarius,águila solitaria,-100.1943898,17.4221123
Buteogallus urubitinga,aguililla negra mayor,-94.3,17.15
Buteogallus urubitinga ridgwayi,aguililla-negra mayor,-90.4633333,18.2733333
Butorides virescens,"garceta verde, garcita verde",-89.0320753,18.4323762
Butorides virescens anthonyi,garceta verde,-105.6,26.1333333
Butorides virescens frazari,garceta verde,-109.9116667,22.8866667
Butorides virescens virescens,garceta verde,-99.1833333,24.0166667
Cairina moschata,pato real,-90.6670354,16.4666922
Calamospiza melanocorys,gorrión alas blancas,-100.581523,25.021968
Calcarius lapponicus,escribano ártico,-100.727967,24.8960325
Calcarius ornatus,escribano collar castaño,-108.349,30.7114
Calidris acuminata,playero de cola afilada,-110.9527383,18.7269151
Calidris alba,playero blanco,-99.7637598,16.748347
Calidris alpina,playero dorso rojo,-113.5288954,31.2964638
Calidris alpina pacifica,"Tingüis lomo rojo norte americano, playero dorso rojo",-110.3464444,24.1059167
Calidris bairdii,playero de Baird,-98.9434957,19.2491515
Calidris canutus,"playero canuto, playero rojo",-114.1785049,27.8032469
Calidris canutus canutus,playero canuto,-114.8333333,31.0233333
Calidris canutus rufa,playero canuto,-97.4,21.55
Calidris ferruginea,playero zarapito,-105.264473,21.5456249
Calidris fuscicollis,playero rabadilla blanca,-86.8428464,20.4236795
Calidris himantopus,playero zancón,-105.603236,22.5731411
Calidris maritima,playero oscuro,-105.267692,21.515467
Calidris mauri,playero occidental,-99.7637598,16.748347
Calidris melanotos,playero pectoral,-99.4973373,19.1531034
Calidris minuta,"playero menor, playero menudo",-116.6373229,31.7079954
Calidris minutilla,"playero chichicuilote, playero diminuto",-99.4973373,19.1531034
Calidris pugnax,playero combatiente,-114.0392772,27.9659841
Calidris pusilla,playero semipalmeado,-95.0140351,16.3339469
Calidris subruficollis,"playero leonado, playero ocre",-90.3677845,20.8925877
Calidris virgata,"playero brincaolas, playero roquero",-110.8741435,23.955613
Callipepla californica,codorniz californiana,-116.678509,32.548971
Callipepla douglasii,codorniz cresta dorada,-109.544274,28.4573233
Callipepla douglasii bensoni,codorniz cresta dorada,-110.6166667,29.9166667
Callipepla douglasii douglasii,codorniz cresta dorada,-107.0166667,24.4183333
Callipepla douglasii teres,codorniz cresta dorada,-105.2316667,20.6116667
Callipepla gambelii,"codorniz chiquiri, codorniz de Gambel",-109.2345923,26.405194
Callipepla gambelii fulvipectus,codorniz chiquiri,-110.6166667,29.9166667
Callipepla squamata,codorniz escamosa,-103.5738524,25.8777308
Callipepla squamata castanogastris,codorniz escamosa,-101.7,27.05
Callipepla squamata pallida,codorniz escamosa,-111.5333333,31.4666667
Callipepla squamata squamata,codorniz escamosa,-100.135,25.5483333
Calocitta colliei,"urraca cara negra, urraca-hermosa cara negra",-105.1531213,21.5057976
Calocitta formosa,"urraca cara blanca, urraca-hermosa cara blanca",-96.5787015,15.6707987
Calocitta formosa azurea,urraca-hermosa cara blanca,-93.695,16.105
Calocitta formosa formosa,urraca-hermosa cara blanca,-105.325,20.3166667
Calocitta formosa pompata,urraca-hermosa cara blanca,-93.9833333,16.5833333
Calonectris diomedea,pardela de Cory,-95.9367015,18.8980371
Calothorax lucifer,colibrí lucifer,-99.1195214,20.0073064
Calothorax pulcher,"colibrí mixteco, colibrí tijereta oaxaqueño",-94.8912506,16.598907
Calypte anna,colibrí cabeza roja,-114.0385838,27.9763292
Calypte costae,colibrí cabeza violeta,-111.8385315,24.4502436
Campephilus guatemalensis,"carpintero pico plata, carpintero pico plateado",-100.1943898,17.4221123
Campephilus guatemalensis guatemalensis,carpintero pico plata,-91.3088056,16.1921111
Campephilus guatemalensis nelsoni,carpintero pico plata,-106.415,23.2183333
Campephilus guatemalensis regius,carpintero pico plata,-99.075,23.0233333
Campephilus imperialis,carpintero imperial,-108.9866667,30.12
Camptostoma imberbe,"mosquerito chillón, mosquero lampiño",-89.0320753,18.4323762
Camptostoma imberbe imberbe,mosquero lampiño,-93.9833333,16.5833333
Camptostoma imberbe ridgwayi,mosquero lampiño,-99.6,17.5333333
Campylopterus hemileucurus,fandanguero morado,-93.2736111,16.8694444
Campylopterus hemileucurus hemileucurus,fandanguero morado,-92.0933333,16.9016667
Campylorhynchus brunneicapillus,matraca del desierto,-100.581523,25.021968
Campylorhynchus chiapensis,matraca chiapaneca,-92.2333156,14.8890147
Campylorhynchus gularis,matraca serrana,-108.034941,27.320249
Campylorhynchus jocosus,matraca del Balsas,-96.510774,17.0098918
Campylorhynchus megalopterus,matraca barrada,-103.518863,19.533456
Campylorhynchus megalopterus nelsoni,matraca de Nelson,-97.3333333,18.7
Campylorhynchus rufinucha,"matraca nuca canela, matraca nuca rufa",-100.1943898,17.4221123
Campylorhynchus rufinucha humilis,matraca nuca rufa,-95.0666667,16.8
Campylorhynchus rufinucha rufinucha,matraca nuca rufa,-95.9333333,18.8833333
Campylorhynchus yucatanicus,matraca yucateca,-89.83825,21.248864
Campylorhynchus zonatus,matraca tropical,-95.01698,18.35812
Campylorhynchus zonatus restrictus,matraca tropical,-91.3097778,16.1940833
Cantorchilus modestus,"chivirín modesto, saltapared chinchibul",-100.1943898,17.4221123
Caracara lutosa,caracara de Isla Guadalupe,-118.2666666,29
Caracara plancus,caracara quebrantahuesos,-106.6566667,21.63
Caracara plancus cheriway,caracara quebrantahuesos,-95.01698,18.35812
Cardellina canadensis,chipe de collar,-92.3415291,17.1707024
Cardellina pusilla,chipe corona negra,-100.1943898,17.4221123
Cardellina rubra,chipe rojo,-100.1943898,17.4221123
Cardellina rubrifrons,chipe cara roja,-105.5,23.6166667
Cardellina versicolor,chipe rosado,-92.528605,16.673972
Cardinalis cardinalis,cardenal rojo,-89.0320753,18.4323762
Cardinalis cardinalis affinis,cardenal rojo,-108.7416667,27.5066667
Cardinalis cardinalis canicaudus,cardenal rojo,-97.9616667,22.3983333
Cardinalis cardinalis coccineus,cardenal rojo,-97.8333333,22.1833333
Cardinalis cardinalis igneus,cardenal rojo,-109.4433333,23.3866667
Cardinalis cardinalis littoralis,cardenal rojo,-94.4166667,18.15
Cardinalis cardinalis mariae,cardenal rojo,-106.2416667,21.305
Cardinalis cardinalis saturatus,cardenal rojo,-86.9416667,20.5066667
Cardinalis cardinalis seftoni,cardenal rojo,-113.4333333,28.1133333
Cardinalis cardinalis sinaloensis,cardenal rojo,-104.895,21.515
Cardinalis cardinalis superbus,cardenal rojo,-106.415,23.2183333
Cardinalis cardinalis townsendi,cardenal rojo,-112.375,29
Cardinalis cardinalis yucatanicus,cardenal rojo,-90.6466667,18.58
Cardinalis sinuatus,"cardenal desértico, cardenal pardo",-103.5738524,25.8777308
Cardinalis sinuatus fulvescens,cardenal pardo,-111.2516667,28.0466667
Cardinalis sinuatus peninsulae,cardenal pardo,-110.2,23.75
Cardinalis sinuatus sinuatus,cardenal pardo,-105.7766667,22.8316667
Caryothraustes poliogaster,picogordo cara negra,-91.577934,16.967433
Caryothraustes poliogaster poliogaster,picogordo cara negra,-91.2991389,16.2030556
Cassiculus melanicterus,cacique mexicano,-100.1943898,17.4221123
Cathartes aura,zopilote aura,-100.1943898,17.4221123
Cathartes aura aura,zopilote aura,-91.0730556,16.0789722
Cathartes burrovianus,zopilote sabanero,-91.9952202,17.7202149
Catharus aurantiirostris,zorzal pico naranja,-100.1943898,17.4221123
Catharus dryas,zorzal pecho amarillo,-92.085257,15.086542
Catharus frantzii,zorzal de Frantzius,-100.1943898,17.4221123
Catharus fuscescens,"zorzal canelo, zorzal rojizo",-96.0906816,19.0674862
Catharus guttatus,"zorzal cola canela, zorzal cola rufa",-97.4172547,18.9481856
Catharus mexicanus,zorzal corona negra,-95.1468534,18.5228338
Catharus minimus,zorzal cara gris,-89.6579445,20.9770287
Catharus occidentalis,zorzal mexicano,-99.211,19.022
Catharus ustulatus,"zorzal de Swainson, zorzal de anteojos",-100.1943898,17.4221123
Catherpes mexicanus,"chivirín barranqueño, saltapared barranqueño",-99.1014007,18.9658571
Catherpes mexicanus mexicanus,chivirín barranqueño,-91.3063333,16.2067778
Celeus castaneus,carpintero castaño,-89.0833,18.5
Centronyx bairdii,gorrión de Baird,-108.349,30.7114
Cepphus columba,arao pichón,-117.270703,32.4257477
Cepphus columba columba,arao pichón,-117.25,32.4333333
Ceratopipra mentalis,"manaquín cabeza roja, saltarín cabeza roja",-94.3,17.15
Cercomacroides tyrannina,"hormiguero cantor, hormiguero tirano",-96.3405674,17.6638143
Cerorhinca monocerata,alca rinoceronte,-116.6363525,31.1752098
Certhia americana,"trepador americano, trepadorcito americano",-103.518863,19.533456
Chaetura pelagica,vencejo de chimenea,-97.7851868,23.7798469
Chaetura vauxi,vencejo de Vaux,-100.1943898,17.4221123
Chamaea fasciata,camea,-116.499413,31.795886
Chamaea fasciata henshawi,camea,-115.4483333,30.87
Charadrius collaris,chorlo de collar,-99.7637598,16.748347
Charadrius melodus,chorlo chiflador,-87.295299,20.4281749
Charadrius montanus,chorlo llanero,-101.240392,22.017981
Charadrius morinellus,chorlo carambolo,-116.813035,32.0676288
Charadrius nivosus,chorlo nevado,-113.5288954,31.2964638
Charadrius nivosus nivosus,chorlo nevado,-90.395,20.8616667
Charadrius semipalmatus,chorlo semipalmeado,-99.7637598,16.748347
Charadrius vociferus,chorlo tildío,-100.581523,25.021968
Charadrius vociferus ternominatus,chorlo tildío,-110.5916667,31.2266667
Charadrius vociferus vociferus,chorlo tildío,-112.84,31.8583333
Charadrius wilsonia,chorlo pico grueso,-97.7375,23.7916667
Charadrius wilsonia beldingi,"chorlito, chorlo, piquigrueso, tildío de Belding",-109.0483333,25.6
Charadrius wilsonia wilsonia,chorlo pico grueso,-98,22.2166667
Chiroxiphia linearis,"manaquín cola larga, saltarín toledo",-92.8918767,15.4802515
Chlidonias niger,charrán negro,-113.5321021,31.3265914
Chlorestes candida,colibrí cándido,-95.01698,18.35812
