especievalida,nombrecomun,category,status,longitud,latitud
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",iucn,Preocupación menor (lc),-103.2419,20.29925
Stilpnia larvata,tangara capucha dorada,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Tangara larvata (ver relaciones de sinonimia).),-94.3,17.15
Sternula antillarum antillarum,charrán mínimo,nom059,Sujeta a protección especial (Pr),-96.1316667,19.1733333
Sternula antillarum antillarum,charrán mínimo,iucn,Preocupación menor (lc),-96.1316667,19.1733333
Sternula antillarum,charrán mínimo,iucn,Preocupación menor (lc),-102.7833333,18.0938889
Sternula antillarum,charrán mínimo,nom059,Sujeta a protección especial (Pr),-102.7833333,18.0938889
Sterna paradisaea,charrán ártico,iucn,Preocupación menor (lc),-114.034316,26.162883
Sterna hirundo,charrán común,iucn,Preocupación menor (lc),-102.7833333,18.0938889
Sterna forsteri,charrán de Forster,iucn,Preocupación menor (lc),-113.1166667,31.1666667
Sterna dougallii,charrán rosado,iucn,Preocupación menor (lc),-86.9833088,20.2825994
Sterna dougallii,charrán rosado,nom059,Amenazada (A),-86.9833088,20.2825994
Stercorarius pomarinus,"salteador pomarino, salteador robusto",iucn,Preocupación menor (lc),-113.1814109,26.8653891
Stercorarius parasiticus,salteador parásito,iucn,Preocupación menor (lc),-113.1814109,26.8653891
Stercorarius longicaudus,salteador cola larga,iucn,Preocupación menor (lc),-109.9374819,24.3224126
Stelgidopteryx serripennis stuarti,golondrina ala aserrada,iucn,Preocupación menor (lc),-91.7516667,16.9
Stelgidopteryx serripennis serripennis,golondrina ala aserrada,iucn,Preocupación menor (lc),-109.6666667,23.55
Stelgidopteryx serripennis ridgwayi,golondrina ala aserrada,iucn,Preocupación menor (lc),-89.9666667,19.7166667
Stelgidopteryx serripennis psammochrous,golondrina ala aserrada,iucn,Preocupación menor (lc),-99.195,18.9233333
Stelgidopteryx serripennis fulvipennis,golondrina ala aserrada,iucn,Preocupación menor (lc),-91.7516667,16.9
Stelgidopteryx serripennis,golondrina alas aserradas,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Sporophila torqueola sharpei,semillero de collar,iucn,Preocupación menor (lc),-97.8452778,22.4466667
Sporophila torqueola atriceps,semillero de collar,iucn,Preocupación menor (lc),-106.1483333,23.235
Sporophila torqueola,"semillero de collar, semillero rabadilla canela",iucn,Preocupación menor (lc),-101.6166216,19.6277471
Sporophila schistacea subconcolor,semillero apizarrado,iucn,Preocupación menor (lc),-95.0666667,17.15
Sporophila schistacea,semillero plomizo,iucn,Preocupación menor (lc),-90.917055,16.279844
Sporophila morelleti,semillero de collar,iucn,Preocupación menor (lc),-95.01698,18.35812
Sporophila minuta,semillero pecho canela,iucn,Preocupación menor (lc),-98.6341381,16.6265698
Sporophila funerea,semillero pico grueso,iucn,Preocupación menor (lc),-96.3405674,17.6638143
Sporophila corvina corvina,semillero variable,iucn,Preocupación menor (lc),-92.135,16.06
Sporophila corvina,semillero variable,iucn,Preocupación menor (lc),-96.3405674,17.6638143
Spizella wortheni,gorrión de Worthen,nom059,En peligro de extinción (P),-100.581523,25.021968
Spizella wortheni,gorrión de Worthen,iucn,En peligro (EN),-100.581523,25.021968
Spizella pusilla,"gorrión llanero, gorrión pusila",iucn,Preocupación menor (lc),-101.8,28.15
Spizella passerina,gorrión cejas blancas,iucn,Preocupación menor (lc),-100.581523,25.021968
Spizella pallida,gorrión pálido,iucn,Preocupación menor (lc),-100.581523,25.021968
Spizella breweri,gorrión de Brewer,iucn,Preocupación menor (lc),-109.007791,25.7832581
Spizella atrogularis,gorrión barba negra,iucn,Preocupación menor (lc),-99.1195214,20.0073064
Spizaetus tyrannus serus,águila tirana,cites,Apéndice II,-96.9283333,19.545
Spizaetus tyrannus serus,águila tirana,iucn,Preocupación menor (lc),-96.9283333,19.545
Spizaetus tyrannus serus,águila tirana,nom059,En peligro de extinción (P),-96.9283333,19.545
Spizaetus tyrannus,águila tirana,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Spizaetus tyrannus,águila tirana,nom059,En peligro de extinción (P),-100.1943898,17.4221123
Spizaetus tyrannus,águila tirana,cites,Apéndice II,-100.1943898,17.4221123
Spizaetus ornatus vicarius,águila elegante,iucn,Casi amenazado (NT),-91.0833333,18.2166667
Spizaetus ornatus vicarius,águila elegante,cites,Apéndice II,-91.0833333,18.2166667
Spizaetus ornatus vicarius,águila elegante,nom059,En peligro de extinción (P),-91.0833333,18.2166667
Spizaetus ornatus,águila elegante,nom059,En peligro de extinción (P),-103.518863,19.533456
Spizaetus ornatus,águila elegante,cites,Apéndice II,-103.518863,19.533456
Spizaetus ornatus,águila elegante,iucn,Casi amenazado (NT),-103.518863,19.533456
Spizaetus melanoleucus,"águila albinegra, águila blanquinegra",iucn,Preocupación menor (lc),-96.3405674,17.6638143
Spizaetus melanoleucus,"águila albinegra, águila blanquinegra",nom059,En peligro de extinción (P),-96.3405674,17.6638143
Spizaetus melanoleucus,"águila albinegra, águila blanquinegra",cites,Apéndice II (El nombre publicado en CITES 2022 es Spizastur melanoleucus.),-96.3405674,17.6638143
