especievalida,nombrecomun,category,status,longitud,latitud
Cathartes aura,zopilote aura,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Cassiculus melanicterus,cacique mexicano,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Caryothraustes poliogaster poliogaster,picogordo cara negra,iucn,Preocupación menor (lc),-91.2991389,16.2030556
Caryothraustes poliogaster,picogordo cara negra,iucn,Preocupación menor (lc),-91.577934,16.967433
Cardinalis sinuatus sinuatus,cardenal pardo,iucn,Preocupación menor (lc),-105.7766667,22.8316667
Cardinalis sinuatus peninsulae,cardenal pardo,iucn,Preocupación menor (lc),-110.2,23.75
Cardinalis sinuatus fulvescens,cardenal pardo,iucn,Preocupación menor (lc),-111.2516667,28.0466667
Cardinalis sinuatus,"cardenal desértico, cardenal pardo",iucn,Preocupación menor (lc),-103.5738524,25.8777308
Cardinalis cardinalis yucatanicus,cardenal rojo,iucn,Preocupación menor (lc),-90.6466667,18.58
Cardinalis cardinalis townsendi,cardenal rojo,iucn,Preocupación menor (lc),-112.375,29
Cardinalis cardinalis superbus,cardenal rojo,iucn,Preocupación menor (lc),-106.415,23.2183333
Cardinalis cardinalis sinaloensis,cardenal rojo,iucn,Preocupación menor (lc),-104.895,21.515
Cardinalis cardinalis seftoni,cardenal rojo,iucn,Preocupación menor (lc),-113.4333333,28.1133333
Cardinalis cardinalis saturatus,cardenal rojo,iucn,Preocupación menor (lc),-86.9416667,20.5066667
Cardinalis cardinalis mariae,cardenal rojo,iucn,Preocupación menor (lc),-106.2416667,21.305
Cardinalis cardinalis mariae,cardenal rojo,nom059,Sujeta a protección especial (Pr),-106.2416667,21.305
Cardinalis cardinalis littoralis,cardenal rojo,iucn,Preocupación menor (lc),-94.4166667,18.15
Cardinalis cardinalis igneus,cardenal rojo,iucn,Preocupación menor (lc),-109.4433333,23.3866667
Cardinalis cardinalis coccineus,cardenal rojo,iucn,Preocupación menor (lc),-97.8333333,22.1833333
Cardinalis cardinalis canicaudus,cardenal rojo,iucn,Preocupación menor (lc),-97.9616667,22.3983333
Cardinalis cardinalis affinis,cardenal rojo,iucn,Preocupación menor (lc),-108.7416667,27.5066667
Cardinalis cardinalis,cardenal rojo,iucn,Preocupación menor (lc),-89.0320753,18.4323762
Cardellina versicolor,chipe rosado,nom059,En peligro de extinción (P),-92.528605,16.673972
Cardellina versicolor,chipe rosado,iucn,Preocupación menor (lc),-92.528605,16.673972
Cardellina rubrifrons,chipe cara roja,iucn,Preocupación menor (lc),-105.5,23.6166667
Cardellina rubra,chipe rojo,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Cardellina pusilla,chipe corona negra,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Cardellina canadensis,chipe de collar,iucn,Preocupación menor (lc),-92.3415291,17.1707024
Caracara plancus cheriway,caracara quebrantahuesos,cites,Apéndice II (El nombre publicado en CITES 2022 es Caracara cheriway (ver relaciones de sinonimia).),-95.01698,18.35812
Caracara plancus cheriway,caracara quebrantahuesos,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Caracara cheriway (ver relaciones de sinonimia).),-95.01698,18.35812
Caracara lutosa,caracara de Isla Guadalupe,nom059,Probablemente extinta en el medio silvestre (E),-118.2666666,29
Caracara lutosa,caracara de Isla Guadalupe,cites,Apéndice II (El nombre publicado en CITES 2022 es Caracara plancus.),-118.2666666,29
Caracara lutosa,caracara de Isla Guadalupe,iucn,Extinto (EX),-118.2666666,29
Cantorchilus modestus,"chivirín modesto, saltapared chinchibul",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Campylorhynchus zonatus restrictus,matraca tropical,iucn,Preocupación menor (lc),-91.3097778,16.1940833
Campylorhynchus zonatus,matraca tropical,iucn,Preocupación menor (lc),-95.01698,18.35812
Campylorhynchus yucatanicus,matraca yucateca,iucn,Casi amenazado (NT),-89.83825,21.248864
Campylorhynchus yucatanicus,matraca yucateca,nom059,En peligro de extinción (P),-89.83825,21.248864
Campylorhynchus rufinucha rufinucha,matraca nuca rufa,iucn,Preocupación menor (lc),-95.9333333,18.8833333
Campylorhynchus rufinucha rufinucha,matraca nuca rufa,nom059,Amenazada (A),-95.9333333,18.8833333
Campylorhynchus rufinucha humilis,matraca nuca rufa,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Campylorhynchus humilis (ver relaciones de sinonimia).),-95.0666667,16.8
Campylorhynchus rufinucha,"matraca nuca canela, matraca nuca rufa",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Campylorhynchus megalopterus nelsoni,matraca de Nelson,iucn,Preocupación menor (lc),-97.3333333,18.7
Campylorhynchus megalopterus,matraca barrada,iucn,Preocupación menor (lc),-103.518863,19.533456
Campylorhynchus jocosus,matraca del Balsas,iucn,Preocupación menor (lc),-96.510774,17.0098918
Campylorhynchus gularis,matraca serrana,iucn,Preocupación menor (lc),-108.034941,27.320249
Campylorhynchus chiapensis,matraca chiapaneca,nom059,Sujeta a protección especial (Pr),-92.2333156,14.8890147
Campylorhynchus chiapensis,matraca chiapaneca,iucn,Preocupación menor (lc),-92.2333156,14.8890147
Campylorhynchus brunneicapillus,matraca del desierto,iucn,Preocupación menor (lc),-100.581523,25.021968
Campylopterus hemileucurus hemileucurus,fandanguero morado,iucn,Preocupación menor (lc),-92.0933333,16.9016667
Campylopterus hemileucurus hemileucurus,fandanguero morado,cites,Apéndice II,-92.0933333,16.9016667
Campylopterus hemileucurus,fandanguero morado,cites,Apéndice II,-93.2736111,16.8694444
Campylopterus hemileucurus,fandanguero morado,iucn,Preocupación menor (lc),-93.2736111,16.8694444
Camptostoma imberbe ridgwayi,mosquero lampiño,iucn,Preocupación menor (lc),-99.6,17.5333333
Camptostoma imberbe imberbe,mosquero lampiño,iucn,Preocupación menor (lc),-93.9833333,16.5833333
Camptostoma imberbe,"mosquerito chillón, mosquero lampiño",iucn,Preocupación menor (lc),-89.0320753,18.4323762
Campephilus imperialis,carpintero imperial,iucn,En peligro crítico (CR),-108.9866667,30.12
Campephilus imperialis,carpintero imperial,nom059,Probablemente extinta en el medio silvestre (E),-108.9866667,30.12
Campephilus guatemalensis regius,carpintero pico plata,iucn,Preocupación menor (lc),-99.075,23.0233333
Campephilus guatemalensis regius,carpintero pico plata,nom059,Sujeta a protección especial (Pr),-99.075,23.0233333
Campephilus guatemalensis nelsoni,carpintero pico plata,iucn,Preocupación menor (lc),-106.415,23.2183333
Campephilus guatemalensis nelsoni,carpintero pico plata,nom059,Sujeta a protección especial (Pr),-106.415,23.2183333
Campephilus guatemalensis guatemalensis,carpintero pico plata,iucn,Preocupación menor (lc),-91.3088056,16.1921111
Campephilus guatemalensis guatemalensis,carpintero pico plata,nom059,Sujeta a protección especial (Pr),-91.3088056,16.1921111
Campephilus guatemalensis,"carpintero pico plata, carpintero pico plateado",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Campephilus guatemalensis,"carpintero pico plata, carpintero pico plateado",nom059,Sujeta a protección especial (Pr),-100.1943898,17.4221123
Calypte costae,colibrí cabeza violeta,cites,Apéndice II,-111.8385315,24.4502436
Calypte costae,colibrí cabeza violeta,iucn,Preocupación menor (lc),-111.8385315,24.4502436
Calypte anna,colibrí cabeza roja,cites,Apéndice II,-114.0385838,27.9763292
Calypte anna,colibrí cabeza roja,iucn,Preocupación menor (lc),-114.0385838,27.9763292
Calothorax pulcher,"colibrí mixteco, colibrí tijereta oaxaqueño",iucn,Preocupación menor (lc),-94.8912506,16.598907
Calothorax pulcher,"colibrí mixteco, colibrí tijereta oaxaqueño",cites,Apéndice II,-94.8912506,16.598907
Calothorax lucifer,colibrí lucifer,cites,Apéndice II,-99.1195214,20.0073064
Calothorax lucifer,colibrí lucifer,iucn,Preocupación menor (lc),-99.1195214,20.0073064
Callipepla squamata squamata,codorniz escamosa,iucn,Preocupación menor (lc),-100.135,25.5483333
Callipepla squamata pallida,codorniz escamosa,iucn,Preocupación menor (lc),-111.5333333,31.4666667
Callipepla squamata castanogastris,codorniz escamosa,iucn,Preocupación menor (lc),-101.7,27.05
Callipepla squamata,codorniz escamosa,iucn,Preocupación menor (lc),-103.5738524,25.8777308
Callipepla gambelii fulvipectus,codorniz chiquiri,iucn,Preocupación menor (lc),-110.6166667,29.9166667
Callipepla gambelii,"codorniz chiquiri, codorniz de Gambel",iucn,Preocupación menor (lc),-109.2345923,26.405194
Callipepla douglasii teres,codorniz cresta dorada,iucn,Preocupación menor (lc),-105.2316667,20.6116667
Callipepla douglasii douglasii,codorniz cresta dorada,iucn,Preocupación menor (lc),-107.0166667,24.4183333
Callipepla douglasii bensoni,codorniz cresta dorada,iucn,Preocupación menor (lc),-110.6166667,29.9166667
Callipepla douglasii,codorniz cresta dorada,iucn,Preocupación menor (lc),-109.544274,28.4573233
Callipepla californica,codorniz californiana,iucn,Preocupación menor (lc),-116.678509,32.548971
Calidris virgata,"playero brincaolas, playero roquero",iucn,Preocupación menor (lc),-110.8741435,23.955613
Calidris subruficollis,"playero leonado, playero ocre",iucn,Casi amenazado (NT),-90.3677845,20.8925877
Calidris pusilla,playero semipalmeado,iucn,Casi amenazado (NT),-95.0140351,16.3339469
Calidris pugnax,playero combatiente,iucn,Preocupación menor (lc),-114.0392772,27.9659841
Calidris minutilla,"playero chichicuilote, playero diminuto",iucn,Preocupación menor (lc),-99.4973373,19.1531034
Calidris melanotos,playero pectoral,iucn,Preocupación menor (lc),-99.4973373,19.1531034
Calidris mauri,playero occidental,iucn,Preocupación menor (lc),-99.7637598,16.748347
Calidris mauri,playero occidental,nom059,Amenazada (A),-99.7637598,16.748347
Calidris himantopus,playero zancón,iucn,Preocupación menor (lc),-105.603236,22.5731411
Calidris fuscicollis,playero rabadilla blanca,iucn,Preocupación menor (lc),-86.8428464,20.4236795
Calidris ferruginea,playero zarapito,iucn,Casi amenazado (NT),-105.264473,21.5456249
Calidris canutus rufa,playero canuto,iucn,Casi amenazado (NT),-97.4,21.55
Calidris canutus canutus,playero canuto,iucn,Casi amenazado (NT),-114.8333333,31.0233333
Calidris canutus,"playero canuto, playero rojo",iucn,Casi amenazado (NT),-114.1785049,27.8032469
Calidris bairdii,playero de Baird,iucn,Preocupación menor (lc),-98.9434957,19.2491515
Calidris alpina pacifica,"Tingüis lomo rojo norte americano, playero dorso rojo",nom059,Amenazada (A),-110.3464444,24.1059167
Calidris alpina pacifica,"Tingüis lomo rojo norte americano, playero dorso rojo",iucn,Preocupación menor (lc),-110.3464444,24.1059167
Calidris alpina,playero dorso rojo,iucn,Preocupación menor (lc),-113.5288954,31.2964638
Calidris alba,playero blanco,iucn,Preocupación menor (lc),-99.7637598,16.748347
Calcarius ornatus,escribano collar castaño,iucn,Vulnerable (VU),-108.349,30.7114
Calcarius lapponicus,escribano ártico,iucn,Preocupación menor (lc),-100.727967,24.8960325
Calamospiza melanocorys,gorrión alas blancas,iucn,Preocupación menor (lc),-100.581523,25.021968
Cairina moschata,pato real,iucn,Preocupación menor (lc),-90.6670354,16.4666922
Cairina moschata,pato real,nom059,En peligro de extinción (P),-90.6670354,16.4666922
Buteogallus urubitinga ridgwayi,aguililla-negra mayor,cites,Apéndice II,-90.4633333,18.2733333
Buteogallus urubitinga ridgwayi,aguililla-negra mayor,iucn,Preocupación menor (lc),-90.4633333,18.2733333
Buteogallus urubitinga ridgwayi,aguililla-negra mayor,nom059,Sujeta a protección especial (Pr),-90.4633333,18.2733333
Buteogallus urubitinga,aguililla negra mayor,cites,Apéndice II,-94.3,17.15
Buteogallus urubitinga,aguililla negra mayor,nom059,Sujeta a protección especial (Pr),-94.3,17.15
Buteogallus urubitinga,aguililla negra mayor,iucn,Preocupación menor (lc),-94.3,17.15
Buteogallus solitarius,águila solitaria,cites,Apéndice II (El nombre publicado en CITES 2022 es Harpyhaliaetus solitarius (ver relaciones de sinonimia).),-100.1943898,17.4221123
Buteogallus solitarius,águila solitaria,iucn,Casi amenazado (NT),-100.1943898,17.4221123
Buteogallus solitarius,águila solitaria,nom059,En peligro de extinción (P),-100.1943898,17.4221123
Buteogallus anthracinus subtilis,aguililla negra menor,nom059,Amenazada (A),-90.3743515,20.8658294
Buteogallus anthracinus subtilis,aguililla negra menor,cites,Apéndice II (El nombre publicado en CITES 2022 es Buteogallus subtilis (ver relaciones de sinonimia).),-90.3743515,20.8658294
Buteogallus anthracinus subtilis,aguililla negra menor,iucn,Preocupación menor (lc),-90.3743515,20.8658294
Buteogallus anthracinus anthracinus,aguililla-negra menor,cites,Apéndice II,-107.0166667,24.4183333
Buteogallus anthracinus anthracinus,aguililla-negra menor,iucn,Preocupación menor (lc),-107.0166667,24.4183333
Buteogallus anthracinus anthracinus,aguililla-negra menor,nom059,Sujeta a protección especial (Pr),-107.0166667,24.4183333
Buteogallus anthracinus,aguililla negra menor,cites,Apéndice II,-100.1943898,17.4221123
Buteogallus anthracinus,aguililla negra menor,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Buteogallus anthracinus,aguililla negra menor,nom059,Sujeta a protección especial (Pr),-100.1943898,17.4221123
Buteo swainsoni,aguililla de Swainson,iucn,Preocupación menor (lc),-110.099659,23.3950452
Buteo swainsoni,aguililla de Swainson,cites,Apéndice II,-110.099659,23.3950452
Buteo swainsoni,aguililla de Swainson,nom059,Sujeta a protección especial (Pr),-110.099659,23.3950452
Buteo regalis,aguililla real,iucn,Preocupación menor (lc),-100.581523,25.021968
Buteo regalis,aguililla real,cites,Apéndice II,-100.581523,25.021968
Buteo regalis,aguililla real,nom059,Sujeta a protección especial (Pr),-100.581523,25.021968
Buteo platypterus platypterus,aguililla ala ancha,cites,Apéndice II,-94.8833333,18.3166667
Buteo platypterus platypterus,aguililla ala ancha,nom059,Sujeta a protección especial (Pr),-94.8833333,18.3166667
Buteo platypterus platypterus,aguililla ala ancha,iucn,Preocupación menor (lc),-94.8833333,18.3166667
Buteo platypterus,aguililla alas anchas,cites,Apéndice II,-100.1943898,17.4221123
Buteo platypterus,aguililla alas anchas,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Buteo platypterus,aguililla alas anchas,nom059,Sujeta a protección especial (Pr),-100.1943898,17.4221123
Buteo plagiatus,aguililla gris,cites,Apéndice II (El nombre publicado en CITES 2022 es Buteo nitidus.),-100.1943898,17.4221123
Buteo plagiatus,aguililla gris,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Buteo lineatus texanus,aguililla pecho rojo,cites,Apéndice II,-97.1,18.85
Buteo lineatus texanus,aguililla pecho rojo,nom059,Sujeta a protección especial (Pr),-97.1,18.85
Buteo lineatus texanus,aguililla pecho rojo,iucn,Preocupación menor (lc),-97.1,18.85
Buteo lineatus lineatus,aguililla pecho rojo,iucn,Preocupación menor (lc),-104.4383333,19.6333333
Buteo lineatus lineatus,aguililla pecho rojo,cites,Apéndice II,-104.4383333,19.6333333
Buteo lineatus lineatus,aguililla pecho rojo,nom059,Sujeta a protección especial (Pr),-104.4383333,19.6333333
Buteo lineatus elegans,aguililla listada vientre rojo,nom059,Sujeta a protección especial (Pr),-115.5683333,30.0533333
Buteo lineatus elegans,aguililla listada vientre rojo,cites,Apéndice II,-115.5683333,30.0533333
Buteo lineatus elegans,aguililla listada vientre rojo,iucn,Preocupación menor (lc),-115.5683333,30.0533333
Buteo lineatus,aguililla pecho rojo,iucn,Preocupación menor (lc),-100.0923359,25.6678167
Buteo lineatus,aguililla pecho rojo,nom059,Sujeta a protección especial (Pr),-100.0923359,25.6678167
Buteo lineatus,aguililla pecho rojo,cites,Apéndice II,-100.0923359,25.6678167
Buteo lagopus,aguililla ártica,cites,Apéndice II,-108.0029389,31.1033683
Buteo lagopus,aguililla ártica,iucn,Preocupación menor (lc),-108.0029389,31.1033683
Buteo lagopus,aguililla ártica,nom059,Sujeta a protección especial (Pr),-108.0029389,31.1033683
Buteo jamaicensis socorroensis,aguililla cola roja,nom059,Sujeta a protección especial (Pr),-110.9833333,18.75
Buteo jamaicensis socorroensis,aguililla cola roja,cites,Apéndice II,-110.9833333,18.75
Buteo jamaicensis socorroensis,aguililla cola roja,iucn,Preocupación menor (lc),-110.9833333,18.75
Buteo jamaicensis hadropus,aguililla cola roja,iucn,Preocupación menor (lc),-102.3883333,19.2916667
Buteo jamaicensis hadropus,aguililla cola roja,cites,Apéndice II,-102.3883333,19.2916667
Buteo jamaicensis fumosus,aguililla cola roja,cites,Apéndice II,-106.4133333,21.4533333
Buteo jamaicensis fumosus,aguililla cola roja,nom059,Sujeta a protección especial (Pr),-106.4133333,21.4533333
Buteo jamaicensis fumosus,aguililla cola roja,iucn,Preocupación menor (lc),-106.4133333,21.4533333
Buteo jamaicensis fuertesi,aguililla cola roja,cites,Apéndice II,-102.5666667,29.05
Buteo jamaicensis fuertesi,aguililla cola roja,iucn,Preocupación menor (lc),-102.5666667,29.05
Buteo jamaicensis costaricensis,aguililla cola roja,cites,Apéndice II,-101.93,21.2933333
Buteo jamaicensis costaricensis,aguililla cola roja,iucn,Preocupación menor (lc),-101.93,21.2933333
Buteo jamaicensis calurus,aguililla cola roja,cites,Apéndice II,-99.5,17.55
Buteo jamaicensis calurus,aguililla cola roja,iucn,Preocupación menor (lc),-99.5,17.55
Buteo jamaicensis borealis,aguililla cola roja,cites,Apéndice II,-106.415,23.2183333
Buteo jamaicensis borealis,aguililla cola roja,iucn,Preocupación menor (lc),-106.415,23.2183333
Buteo jamaicensis,"aguililla cola roja, águila cola roja",iucn,Preocupación menor (lc),-100.2394965,25.7954522
Buteo jamaicensis,"aguililla cola roja, águila cola roja",cites,Apéndice II,-100.2394965,25.7954522
Buteo brachyurus fuliginosus,águila cola corta,cites,Apéndice II,-91.3069167,16.2025278
Buteo brachyurus fuliginosus,águila cola corta,iucn,Preocupación menor (lc),-91.3069167,16.2025278
Buteo brachyurus,aguililla cola corta,cites,Apéndice II,-91.577934,16.967433
Buteo brachyurus,aguililla cola corta,iucn,Preocupación menor (lc),-91.577934,16.967433
Buteo albonotatus,aguililla aura,nom059,Sujeta a protección especial (Pr),-95.01698,18.35812
Buteo albonotatus,aguililla aura,cites,Apéndice II,-95.01698,18.35812
Buteo albonotatus,aguililla aura,iucn,Preocupación menor (lc),-95.01698,18.35812
Busarellus nigricollis nigricollis,aguililla canela,iucn,Preocupación menor (lc),-96.2733333,18.9033333
Busarellus nigricollis nigricollis,aguililla canela,nom059,Sujeta a protección especial (Pr),-96.2733333,18.9033333
Busarellus nigricollis nigricollis,aguililla canela,cites,Apéndice II,-96.2733333,18.9033333
Busarellus nigricollis,aguililla canela,cites,Apéndice II,-95.1468534,18.5228338
Busarellus nigricollis,aguililla canela,iucn,Preocupación menor (lc),-95.1468534,18.5228338
Busarellus nigricollis,aguililla canela,nom059,Sujeta a protección especial (Pr),-95.1468534,18.5228338
Burhinus bistriatus bistriatus,alcaraván americano,cites,Apéndice III,-93.9833333,16.5833333
Burhinus bistriatus bistriatus,alcaraván americano,iucn,Preocupación menor (lc),-93.9833333,16.5833333
Burhinus bistriatus,alcaraván americano,iucn,Preocupación menor (lc),-95.966681,18.849211
Burhinus bistriatus,alcaraván americano,cites,Apéndice III (Guatemala listó a la especie Burhinus bistriatus..),-95.966681,18.849211
Bulweria bulwerii,petrel de Bulwer,iucn,Preocupación menor (lc),-86.975555,20.475686
Bucephala clangula,pato chillón,iucn,Preocupación menor (lc),-109.2345923,26.405194
Bucephala albeola,pato monja,iucn,Preocupación menor (lc),-113.5288954,31.2964638
Bubulcus ibis,garza ganadera,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Bubo virginianus subarcticus,búho cornudo,cites,Apéndice II,-102.26,22.9316667
Bubo virginianus subarcticus,búho cornudo,iucn,Preocupación menor (lc),-102.26,22.9316667
Bubo virginianus pallescens,búho cornudo,cites,Apéndice II,-108.1,27.15
Bubo virginianus pallescens,búho cornudo,iucn,Preocupación menor (lc),-108.1,27.15
Bubo virginianus pacificus,búho cornudo,cites,Apéndice II,-115.9133333,30.7683333
Bubo virginianus pacificus,búho cornudo,iucn,Preocupación menor (lc),-115.9133333,30.7683333
Bubo virginianus mayensis,búho cornudo,cites,Apéndice II,-99.5,17.55
Bubo virginianus mayensis,búho cornudo,iucn,Preocupación menor (lc),-99.5,17.55
Bubo virginianus mayensis,búho cornudo,nom059,Amenazada (A),-99.5,17.55
Bubo virginianus elachistus,búho cornudo,iucn,Preocupación menor (lc),-109.8,23.2516667
Bubo virginianus elachistus,búho cornudo,cites,Apéndice II,-109.8,23.2516667
Bubo virginianus,búho cornudo,iucn,Preocupación menor (lc),-99.1195214,20.0073064
Bubo virginianus,búho cornudo,cites,Apéndice II,-99.1195214,20.0073064
Brotogeris jugularis,"perico ala amarilla, periquito alas amarillas",iucn,Preocupación menor (lc),-92.8918767,15.4802515
Brotogeris jugularis,"perico ala amarilla, periquito alas amarillas",nom059,Amenazada (A),-92.8918767,15.4802515
Brotogeris jugularis,"perico ala amarilla, periquito alas amarillas",cites,Apéndice II,-92.8918767,15.4802515
Branta hutchinsii,"ganso cacareador, ganso canadiense menor",iucn,Preocupación menor (lc),-106.4263405,31.6877979
Branta canadensis,"ganso canadiense, ganso canadiense mayor",iucn,Preocupación menor (lc),-107.1130085,29.2594112
Branta bernicla,ganso de collar,iucn,Preocupación menor (lc),-109.2345923,26.405194
Brachyramphus marmoratus,alca marmoleada,iucn,En peligro (EN),-116.6256237,31.8517525
Botaurus pinnatus caribaeus,avetoro neotropical,iucn,Preocupación menor (lc),-97.05,20.4833333
Botaurus pinnatus caribaeus,avetoro neotropical,nom059,Amenazada (A),-97.05,20.4833333
Botaurus pinnatus,avetoro neotropical,iucn,Preocupación menor (lc),-91.9952202,17.7202149
Botaurus pinnatus,avetoro neotropical,nom059,Amenazada (A),-91.9952202,17.7202149
Botaurus lentiginosus,avetoro norteño,nom059,Amenazada (A),-97.0666667,20.5
Botaurus lentiginosus,avetoro norteño,iucn,Preocupación menor (lc),-97.0666667,20.5
Bombycilla cedrorum,"ampelis chinito, chinito",iucn,Preocupación menor (lc),-96.4243948,15.9462477
Bolborhynchus lineola,"perico barrado, periquito barrado",cites,Apéndice II,-91.6739065,16.0997026
Bolborhynchus lineola,"perico barrado, periquito barrado",iucn,Preocupación menor (lc),-91.6739065,16.0997026
Bolborhynchus lineola,"perico barrado, periquito barrado",nom059,Amenazada (A),-91.6739065,16.0997026
Basilinna xantusii,"zafiro bajacaliforniano, zafiro de Xantus",cites,Apéndice II,-110.221748,23.449437
Basilinna xantusii,"zafiro bajacaliforniano, zafiro de Xantus",iucn,Preocupación menor (lc),-110.221748,23.449437
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",cites,Apéndice II,-99.1195214,20.0073064
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",iucn,Preocupación menor (lc),-99.1195214,20.0073064
Basileuterus rufifrons salvini,chipe gorra rufa,iucn,Preocupación menor (lc),-95.0666667,18.6
Basileuterus rufifrons rufifrons,chipe gorra rufa,iucn,Preocupación menor (lc),-96.6833333,18.3833333
Basileuterus rufifrons jouyi,chipe gorra rufa,iucn,Preocupación menor (lc),-99.4166667,23.9
Basileuterus rufifrons dugesi,chipe gorra rufa,iucn,Preocupación menor (lc),-103.6166667,19.6166667
Basileuterus rufifrons caudatus,chipe gorra rufa,iucn,Preocupación menor (lc),-108.3833333,26.9916667
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Basileuterus culicivorus flavescens,chipe corona dorada,iucn,Preocupación menor (lc),-104.965,21.5766667
Basileuterus culicivorus culicivorus,chipe corona dorada,iucn,Preocupación menor (lc),-96.8666667,19.3666667
Basileuterus culicivorus brasierii,chipe corona dorada,iucn,Preocupación menor (lc),-97.5833333,21.75
Basileuterus culicivorus,"chipe cejas negras, chipe corona dorada",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Basileuterus belli scitulus,chipe ceja dorada,iucn,Preocupación menor (lc),-92.0833333,15.0666667
Basileuterus belli clarus,chipe ceja dorada,iucn,Preocupación menor (lc),-99.6666667,17.55
Basileuterus belli belli,chipe ceja dorada,iucn,Preocupación menor (lc),-97.3333333,18.7
Basileuterus belli bateli,chipe ceja dorada,iucn,Preocupación menor (lc),-105.8433333,23.5866667
Basileuterus belli,chipe cejas doradas,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Bartramia longicauda,zarapito ganga,iucn,Preocupación menor (lc),-98.8679914,19.4905512
Baeolophus wollweberi,carbonero embridado,iucn,Preocupación menor (lc),-102.9783333,18.755
Baeolophus inornatus,"carbonero encinero, carbonero sencillo",iucn,Preocupación menor (lc),-115.9085083,32.0453328
Baeolophus atricristatus,carbonero cresta negra,iucn,Preocupación menor (lc),-102.755127,28.9556669
Aythya valisineria,pato coacoxtle,iucn,Preocupación menor (lc),-89.583436,21.2923604
Aythya marila,pato boludo mayor,iucn,Preocupación menor (lc),-114.055155,27.9695368
Aythya collaris,pato pico anillado,iucn,Preocupación menor (lc),-101.0526506,22.1508291
Aythya americana,pato cabeza roja,iucn,Preocupación menor (lc),-97.741616,23.767161
Aythya affinis,pato boludo menor,iucn,Preocupación menor (lc),-104.8109772,21.5174243
Automolus ochrolaemus cervinigularis,breñero garganta pálida,nom059,Sujeta a protección especial (Pr),-93.72,16.6916667
Automolus ochrolaemus cervinigularis,breñero garganta pálida,iucn,Preocupación menor (lc),-93.72,16.6916667
Automolus ochrolaemus,"breñero garganta pálida, musguero garganta pálida",iucn,Preocupación menor (lc),-95.1468534,18.5228338
Automolus ochrolaemus,"breñero garganta pálida, musguero garganta pálida",nom059,Sujeta a protección especial (Pr),-95.1468534,18.5228338
Auriparus flaviceps ornatus,baloncillo,iucn,Preocupación menor (lc),-102.15,22.2233333
Auriparus flaviceps lamprocephalus,baloncillo,iucn,Preocupación menor (lc),-116.795,32.3633333
Auriparus flaviceps hidalgensis,baloncillo,iucn,Preocupación menor (lc),-98.6316667,20.465
Auriparus flaviceps flaviceps,baloncillo,iucn,Preocupación menor (lc),-109.7833333,23.45
Auriparus flaviceps acaciarum,baloncillo,iucn,Preocupación menor (lc),-114.8,32.55
Auriparus flaviceps,baloncillo,iucn,Preocupación menor (lc),-109.544274,28.4573233
Aulacorhynchus prasinus prasinus,tucaneta verde,iucn,Preocupación menor (lc),-91.3065833,16.2008333
Aulacorhynchus prasinus prasinus,tucaneta verde,nom059,Sujeta a protección especial (Pr),-91.3065833,16.2008333
Aulacorhynchus prasinus,"tucancillo verde, tucaneta verde",nom059,Sujeta a protección especial (Pr),-100.1943898,17.4221123
Aulacorhynchus prasinus,"tucancillo verde, tucaneta verde",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Attila spadiceus pacificus,atila,iucn,Preocupación menor (lc),-100.04,19.0433333
Attila spadiceus gaumeri,atila,iucn,Preocupación menor (lc),-90.6466667,18.58
Attila spadiceus cozumelae,atila,iucn,Preocupación menor (lc),-86.9416667,20.5066667
Attila spadiceus cozumelae,atila,nom059,Sujeta a protección especial (Pr),-86.9416667,20.5066667
Attila spadiceus,"Atila, mosquero atila",iucn,Preocupación menor (lc),-96.4243948,15.9462477
Atticora pileata,golondrina gorra negra,nom059,Sujeta a protección especial (Pr),-92.0902778,15.075
Atticora pileata,golondrina gorra negra,iucn,Preocupación menor (lc),-92.0902778,15.075
Atlapetes pileatus pileatus,atlapetes gorra rufa,iucn,Preocupación menor (lc),-97.02,19.4183333
Atlapetes pileatus dilutus,atlapetes gorra rufa,iucn,Preocupación menor (lc),-97.87,23.595
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",iucn,Preocupación menor (lc),-103.518863,19.533456
