especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Hylorchilus sumichrasti,"chivirín de Sumichrast, cuevero de Sumichrast",CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,"El Aguajito, Rancho, 8 Km al NW de Emilio Rabasa, Reserva El Ocote",MEXICO / CHIAPAS / OCOZOCOAUTLA DE ESPINOSA,-93.6711111,16.9588889
Hylorchilus navai,"chivirín de Nava, cuevero de Nava",CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,"Camino Armando Zebadúa, Chiapas México.",MEXICO / CHIAPAS / OCOZOCOAUTLA DE ESPINOSA,-93.4664655,16.9145437
Hylomanes momotula momotula,momoto enano,CHIAPAS,07,OCOSINGO,07059,LAGUNA OCOTAL,MEXICO / CHIAPAS,-91.4366667,16.8116667
Hylomanes momotula chiapensis,momoto enano,VERACRUZ DE IGNACIO DE LA LLAVE,30,CATEMACO,30032,APROXIMADAMENTE 12 MI SE DE SAN ANDRéS TUXTLA,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-95.0933333,18.3333333
Hylomanes momotula,momoto enano,CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Hylocichla mustelina,"zorzal maculado, zorzal moteado",CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Hydropsalis maculicaudus,"tapacamino cola pinta, tapacaminos sabanero",CHIAPAS,07,LA LIBERTAD,07050,"Carretera Estación Palenque - La Libertad, La Libertad MX-CHIS 17.67518, -91.73525",MEXICO / CHIAPAS / LA LIBERTAD,-91.735254,17.675181
Hydroprogne caspia,"charrán caspia, charrán del caspio",BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahia San Quintin--Pedregal,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9630108,30.4626105
Hydrocoloeus minutus,gaviota menor,TAMAULIPAS,28,MATAMOROS,28022,Boca Chica (Tamaulipas),MEXICO / TAMAULIPAS / MATAMOROS,-97.1484947,25.9482821
Hydrobates tethys,paíño de Galápagos,BAJA CALIFORNIA SUR,03,LA PAZ,03003,"Calle Antonio Verdugo, Los Barriles, Baja California Sur, MX (23.681, -109.697)",MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-109.6965751,23.6814983
Hydrobates socorroensis,paíño de Townsend,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Cabo San Lucas,MEXICO / BAJA CALIFORNIA SUR,-109.9166667,22.8833333
Hydrobates microsoma,paíño mínimo,BAJA CALIFORNIA,02,ENSENADA,02001,Playa El Faro,MEXICO / BAJA CALIFORNIA / ENSENADA,-114.4075441,29.8442175
Hydrobates melania,paíño negro,BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,BCN Las Gaviotas,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-116.961,32.2528
Hydrobates leucorhous,paíño de Leach,BAJA CALIFORNIA,02,SAN QUINTIN,02006,MEXICO: Baja California; Islas Coronado,MEXICO / BAJA CALIFORNIA,-115.028915,29.66266
Histrionicus histrionicus,pato arlequín,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Estacion Del Mar Cortez,MEXICO / BAJA CALIFORNIA / ENSENADA,-113.5469,28.9793
Hirundo rustica,"golondrina común, golondrina tijereta",AGUASCALIENTES,01,EL LLANO,01010,"Los Conos, Ags., México",MEXICO / AGUASCALIENTES / EL LLANO,-101.992637,21.898882
Himantopus mexicanus,"candelero americano, monjita americana",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Herpetotheres cachinnans chapmani,halcón guaco,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Herpetotheres cachinnans cachinnans,halcón guaco,CHIAPAS,07,OCOSINGO,07059,500 m adelante de la desviación a Ixcán sobre la carretera,MEXICO / CHIAPAS / OCOSINGO,-91.0876944,16.0834722
Herpetotheres cachinnans,halcón guaco,CAMPECHE,04,CHAMPOTON,04004,Carretera 180/Ciudad del Carmen-Champoton,MEXICO / CAMPECHE / CHAMPOTON,-91.0811126,19.0654622
Henicorhina leucosticta prostheleuca,chivirín pecho blanco,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Henicorhina leucosticta,"chivirín pecho blanco, saltapared pecho blanco",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Henicorhina leucophrys minuscula,chivirín pecho gris,JALISCO,14,AUTLAN DE NAVARRO,14015,"LOS CORRALITOS, SIERRA DE AUTLAN",MEXICO / JALISCO,-104.3,19.6216667
Henicorhina leucophrys mexicana,chivirín pecho gris,HIDALGO,13,TLANCHINOL,13073,NEAR TENANGO,MEXICO / HIDALGO,-98.7,21.1166667
Henicorhina leucophrys festiva,chivirín pecho gris,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,CUAPANGO,MEXICO / GUERRERO,-99.6666667,17.5
Henicorhina leucophrys castanea,chivirín pecho gris,CHIAPAS,07,OCOSINGO,07059,LAGUNA OCOTAL,MEXICO / CHIAPAS,-91.4366667,16.8116667
Henicorhina leucophrys capitalis,chivirín pecho gris,CHIAPAS,07,MAPASTEPEC,07051,RESERVA ECOLóGICA EL TRIUNFO,MEXICO / CHIAPAS,-92.8333333,15.6166667
Henicorhina leucophrys,"chivirín pecho gris, saltapared pecho gris",CHIAPAS,07,UNION JUAREZ,07105,CANTON CHIQUIHUITE P168,MEXICO / CHIAPAS / UNION JUAREZ,-92.10799,15.09471
Helmitheros vermivorum,chipe gusanero,BAJA CALIFORNIA,02,ENSENADA,02001,Club Caza La Grulla (Acceso Restringido),MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6277802,31.7004673
Heliothryx barroti,"colibrí hada enmascarada, hada enmascarada",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Heliornis fulica,pájaro cantil,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Heliomaster longirostris pallidiceps,colibrí pico largo,CHIAPAS,07,PIJIJIAPAN,07069,Finca Jajuco,MEXICO / CHIAPAS,-93.1773661,15.6324119
Heliomaster longirostris,"colibrí pico largo, colibrí picudo coroniazul",CHIAPAS,07,MAPASTEPEC,07051,MX-CHP-Paval Base Camp [El Triunfo Pacific Slope],MEXICO / CHIAPAS / MAPASTEPEC,-92.850105,15.592826
Heliomaster constantii pinicola,colibrí picudo,NAYARIT,18,TEPIC,18017,Jumatán,MEXICO / NAYARIT,-105.03,21.6433333
Heliomaster constantii leocadiae,colibrí pico largo,CHIAPAS,07,COMITAN DE DOMINGUEZ,07019,Comitán,MEXICO / CHIAPAS,-92.1316667,16.25
