especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Callipepla squamata castanogastris,codorniz escamosa,COAHUILA DE ZARAGOZA,05,NADADORES,05021,"PUERTA DEL CARMEN, 25 MI NO MONCLOVA 2000 FT",MEXICO / COAHUILA DE ZARAGOZA,-101.7,27.05
Callipepla squamata,codorniz escamosa,AGUASCALIENTES,01,EL LLANO,01010,"El Llano, Ags., México",MEXICO / AGUASCALIENTES / EL LLANO,-101.9139861,21.9299884
Callipepla gambelii fulvipectus,codorniz chiquiri,SINALOA,25,ELOTA,25008,"PRESIDIO, MAZATLAN",MEXICO / SINALOA,-106.8366667,24.2266667
Callipepla gambelii,"codorniz chiquiri, codorniz de Gambel",BAJA CALIFORNIA,02,MEXICALI,02002,Río Colorado - RC29-6,MEXICO / BAJA CALIFORNIA / MEXICALI,-115.1821494,32.1804512
Callipepla douglasii teres,codorniz cresta dorada,JALISCO,14,PUERTO VALLARTA,14067,PUERTO VALLARTA,MEXICO / JALISCO,-105.2316667,20.6116667
Callipepla douglasii douglasii,codorniz cresta dorada,DURANGO,10,TAMAZULA,10034,Tamazula,MEXICO / DURANGO,-106.9666667,24.9333333
Callipepla douglasii bensoni,codorniz cresta dorada,SINALOA,25,BADIRAGUATO,25003,TECORIPA,MEXICO / SINALOA,-107.5,25.6466667
Callipepla douglasii,codorniz cresta dorada,CHIHUAHUA,08,URIQUE,08065,Road to Urique,MEXICO / CHIHUAHUA / URIQUE,-107.9670936,27.2418483
Callipepla californica,codorniz californiana,BAJA CALIFORNIA,02,TECATE,02003,"21520, Cañón de la Puerta MX-BC 32.54897, -116.67851",MEXICO / BAJA CALIFORNIA / TECATE,-116.678509,32.548971
Calidris virgata,"playero brincaolas, playero roquero",BAJA CALIFORNIA,02,TIJUANA,02004,"Playa de Coronado Vista, Rosarito, Baja California, MX (32.414, -117.096)",MEXICO / BAJA CALIFORNIA / TIJUANA,-117.0955685,32.4142179
Calidris subruficollis,"playero leonado, playero ocre",BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Estero La Misión,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-116.8791223,32.0936005
Calidris pusilla,playero semipalmeado,BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,"RIO GUADALUPE, EN LA BOCA, 2 KM O LA MISION",MEXICO / BAJA CALIFORNIA,-116.8866667,32.1
Calidris pugnax,playero combatiente,BAJA CALIFORNIA,02,ENSENADA,02001,La Lagunita El Ciprés,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.606521,31.816366
Calidris minutilla,"playero chichicuilote, playero diminuto",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Calidris minuta,"playero menor, playero menudo",BAJA CALIFORNIA,02,ENSENADA,02001,Estero Punta Banda,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6373229,31.7079954
Calidris melanotos,playero pectoral,BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Calidris mauri,playero occidental,AGUASCALIENTES,01,JESUS MARIA,01005,Presa El Chichimeco,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.3641038,21.9978483
Calidris maritima,playero oscuro,NAYARIT,18,SAN BLAS,18012,escolleras en desembocadura de rio - Playa El Borrego,MEXICO / NAYARIT / SAN BLAS,-105.267692,21.515467
Calidris himantopus,playero zancón,AGUASCALIENTES,01,AGUASCALIENTES,01001,"ANP Bosque de Cobos Parga, Calle La Presa s/n, Los Parga, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2452068,21.8088498
Calidris fuscicollis,playero rabadilla blanca,CAMPECHE,04,CARMEN,04003,Playa Norte,MEXICO / CAMPECHE / CARMEN,-91.842742,18.6616963
Calidris ferruginea,playero zarapito,BAJA CALIFORNIA SUR,03,LA PAZ,03003,La Paz,MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-110.31083,24.14222
Calidris canutus rufa,playero canuto,VERACRUZ DE IGNACIO DE LA LLAVE,30,TAMPICO ALTO,30152,"RIVERA, 25 MI S",MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-97.4,21.55
Calidris canutus canutus,playero canuto,BAJA CALIFORNIA,02,MEXICALI,02002,San Felipe,MEXICO / BAJA CALIFORNIA,-114.8333333,31.0233333
Calidris canutus,"playero canuto, playero rojo",BAJA CALIFORNIA,02,SAN QUINTIN,02006,LGN-Don Miguelito a Chupalodo,MEXICO / BAJA CALIFORNIA / ENSENADA,-114.0347222,28.0420556
Calidris bairdii,playero de Baird,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Calidris alpina pacifica,"Tingüis lomo rojo norte americano, playero dorso rojo",BAJA CALIFORNIA,02,SAN QUINTIN,02006,verbatimLocality: | NORTH AMERICA | MEXICO | BAJA CALIF DEL NORTE |  |  SAN QUINTIN BAY,MEXICO / BAJA CALIFORNIA,-115.967375,30.4534455
Calidris alpina,playero dorso rojo,BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Calidris alba,playero blanco,BAJA CALIFORNIA,02,ENSENADA,02001,Rio Santo Tomas estuary,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6585304,31.53492
Calidris acuminata,playero de cola afilada,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahia de San Quintin,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9457588,30.4094494
Calcarius ornatus,escribano collar castaño,BAJA CALIFORNIA,02,ENSENADA,02001,highway 3 from east of Ensenada to the lakes in the vicinity of,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9249783,31.6752478
Calcarius lapponicus,escribano ártico,BAJA CALIFORNIA,02,SAN QUINTIN,02006,El Rosario (pueblo),MEXICO / BAJA CALIFORNIA / ENSENADA,-115.7259464,30.0582857
Calamospiza melanocorys,gorrión alas blancas,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Cairina moschata,pato real,BAJA CALIFORNIA,02,ENSENADA,02001,Puerto Ensenada,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6256237,31.8517525
Butorides virescens virescens,garceta verde,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Butorides virescens frazari,garceta verde,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,San Lucas,MEXICO / BAJA CALIFORNIA SUR,-109.9116667,22.8866667
Butorides virescens anthonyi,garceta verde,DURANGO,10,SAN BERNARDO,10025,RIO SESTIN,MEXICO / DURANGO,-105.6,26.1333333
Butorides virescens,"garceta verde, garcita verde",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Buteogallus urubitinga ridgwayi,aguililla-negra mayor,CAMPECHE,04,CANDELARIA,04011,2 KM N AGUADA SECA,MEXICO / CAMPECHE,-90.4633333,18.2733333
Buteogallus urubitinga,aguililla negra mayor,CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Humedal,MEXICO / CAMPECHE / CALAKMUL,-89.3328902,18.5042572
Buteogallus solitarius,águila solitaria,CHIAPAS,07,JIQUIPILAS,07046,"Rancho Los Alpes, Reserva de la Biosfera La Sepultura, Municipio de Jiquipilas, Estado de Chiapas",MEXICO / CHIAPAS / JIQUIPILAS,-93.7255619,16.3405577
Buteogallus anthracinus subtilis,aguililla negra menor,CHIAPAS,07,ACAPETAHUA,07003,"ISLA KOATESPALA, RESERVA BIOLóGICA, MANGLAR ZAPOTó",MEXICO / CHIAPAS,-92.7833333,15.1
Buteogallus anthracinus anthracinus,aguililla-negra menor,CHIHUAHUA,08,URIQUE,08065,"BARRANCA DEL COBRE, ARROYO HONDO",MEXICO / CHIHUAHUA,-108.1,27.15
Buteogallus anthracinus,aguililla negra menor,AGUASCALIENTES,01,CALVILLO,01003,Río de Gil de Arriba (pueblo),MEXICO / AGUASCALIENTES / CALVILLO,-102.6167464,21.8617477
Buteo swainsoni,aguililla de Swainson,AGUASCALIENTES,01,SAN FRANCISCO DE LOS ROMO,01011,Viñedos Ribier,MEXICO / AGUASCALIENTES / SAN FRANCISCO DE LOS ROMO,-102.2844385,21.9763896
Buteo regalis,aguililla real,AGUASCALIENTES,01,EL LLANO,01010,"Mexico, Nord-Amerika",MEXICO,-102,22
Buteo platypterus platypterus,aguililla ala ancha,CHIAPAS,07,ACACOYAGUA,07001,"ESCUINTLA, ACACOYAGUA, LA GRADA",MEXICO / CHIAPAS,-92.705,15.335
Buteo platypterus,aguililla alas anchas,AGUASCALIENTES,01,AGUASCALIENTES,01001,El Sabinal,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3739529,21.7539196
Buteo plagiatus,aguililla gris,AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Buteo nitidus plagiatus,aguililla gris,CHIAPAS,07,OCOSINGO,07059,Ixcan P4,MEXICO / CHIAPAS / OCOSINGO,-91.0730556,16.0789722
Buteo lineatus texanus,aguililla pecho rojo,JALISCO,14,AUTLAN DE NAVARRO,14015,Mezquitán,MEXICO / JALISCO,-104.3316667,19.8216667
Buteo lineatus lineatus,aguililla pecho rojo,JALISCO,14,CASIMIRO CASTILLO,14021,"SAPOTILLO, 22 MI SO DE AUTLAN",MEXICO / JALISCO,-104.4383333,19.6333333
Buteo lineatus elegans,aguililla listada vientre rojo,BAJA CALIFORNIA,02,SAN QUINTIN,02006,ROSARIO,MEXICO / BAJA CALIFORNIA,-115.5683333,30.0533333
Buteo lineatus,aguililla pecho rojo,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"San José de Gracia, Ags., México",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4569291,22.1751763
Buteo lagopus,aguililla ártica,CHIHUAHUA,08,ASCENSION,08005,Ascension,MEXICO / CHIHUAHUA / ASCENSION,-108.0029389,31.1033683
Buteo jamaicensis hadropus,aguililla cola roja,MICHOACAN DE OCAMPO,16,TANCITARO,16083,"TANCITARO, PEDREGAL",MEXICO / MICHOACAN DE OCAMPO,-102.3883333,19.2916667
Buteo jamaicensis fuertesi,aguililla cola roja,COAHUILA DE ZARAGOZA,05,OCAMPO,05023,SIERRA DEL CARMEN,MEXICO / COAHUILA DE ZARAGOZA,-102.5666667,29.05
Buteo jamaicensis costaricensis,aguililla cola roja,CHIAPAS,07,CINTALAPA,07017,EL FENIX (MONTAÑAS ALTAS N HACIENDA MONSERRATE),MEXICO / CHIAPAS,-93.985,16.6633333
Buteo jamaicensis calurus,aguililla cola roja,BAJA CALIFORNIA,02,ENSENADA,02001,10 MI SE ALAMO,MEXICO / BAJA CALIFORNIA,-116.1333333,31.5666667
Buteo jamaicensis borealis,aguililla cola roja,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,San Lucas,MEXICO / BAJA CALIFORNIA SUR,-109.9116667,22.8866667
Buteo jamaicensis,"aguililla cola roja, águila cola roja",AGUASCALIENTES,01,CALVILLO,01003,"Calvillo, Ags., Mexico",MEXICO / AGUASCALIENTES / CALVILLO,-102.7227955,22.0847705
Buteo brachyurus fuliginosus,aguililla cola corta,CAMPECHE,04,CAMPECHE,04002,"CIUDAD CAMPECHE, 8 KM E",MEXICO / CAMPECHE,-90.4216667,19.8333333
Buteo brachyurus,aguililla cola corta,BAJA CALIFORNIA SUR,03,LA PAZ,03003,"La Paz, B.C.S., México",MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-109.9544874,23.5530507
Buteo albonotatus,aguililla aura,AGUASCALIENTES,01,AGUASCALIENTES,01001,Parque Mexico/La Presa,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2671537,21.9071118
Busarellus nigricollis nigricollis,aguililla canela,OAXACA,20,SAN MIGUEL SOYALTEPEC,20278,SOYALTEPEC,MEXICO / OAXACA,-96.4833333,18.2
Busarellus nigricollis,aguililla canela,CAMPECHE,04,CAMPECHE,04002,Campeche Area,MEXICO / CAMPECHE / CAMPECHE,-90.5346426,19.8281566
Burhinus bistriatus bistriatus,alcaraván americano,CHIAPAS,07,CINTALAPA,07017,ALTIPLANICIE MONSERRATE,MEXICO / CHIAPAS,-93.9833333,16.5833333
Burhinus bistriatus,alcaraván americano,CAMPECHE,04,PALIZADA,04007,"Unnamed Road, Las Cruces, Campeche, MX (17.956, -91.751)",MEXICO / CAMPECHE / PALIZADA,-91.7505017,17.95634
Bulweria bulwerii,petrel de Bulwer,QUINTANA ROO,23,COZUMEL,23001,"MX-QROO-Mar Caribe (20.4757,-86.9756)",MEXICO / QUINTANA ROO / COZUMEL,-86.975555,20.475686
Bucephala islandica,pato islándico,BAJA CALIFORNIA,02,MEXICALI,02002,Canal Colima,MEXICO / BAJA CALIFORNIA / MEXICALI,-114.7395802,32.6934213
Bucephala clangula,pato chillón,BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Bucephala albeola,pato monja,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,San Jose de Gracia,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.414722,22.151
Bubulcus ibis,garza ganadera,AGUASCALIENTES,01,JESUS MARIA,01005,Av. Prol. Zaragoza,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.3088268,21.9427619
Bubo virginianus subarcticus,búho cornudo,SONORA,26,GUAYMAS,26029,GUAYMAS,MEXICO / SONORA,-110.8983333,27.9183333
Bubo virginianus pallescens,búho cornudo,BAJA CALIFORNIA,02,MEXICALI,02002,MOUTH OF HARDY,MEXICO / BAJA CALIFORNIA,-115.2666667,32.27
Bubo virginianus pacificus,búho cornudo,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SANTO DOMINGO,MEXICO / BAJA CALIFORNIA,-115.9133333,30.7683333
Bubo virginianus mayensis,búho cornudo,COAHUILA DE ZARAGOZA,05,SAN PEDRO,05033,DELICIAS LAS,MEXICO / COAHUILA DE ZARAGOZA,-102.8666667,26.2166667
Bubo virginianus elachistus,búho cornudo,BAJA CALIFORNIA,02,SAN QUINTIN,02006,ROSARIO,MEXICO / BAJA CALIFORNIA,-115.5683333,30.0533333
Bubo virginianus,búho cornudo,AGUASCALIENTES,01,AGUASCALIENTES,01001,Calle El Molino,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3157382,21.9353428
Brotogeris jugularis,"perico ala amarilla, periquito alas amarillas",CHIAPAS,07,MAPASTEPEC,07051,Above Mapastepec,MEXICO / CHIAPAS / MAPASTEPEC,-92.8918767,15.4802515
Branta hutchinsii,"ganso cacareador, ganso canadiense menor",BAJA CALIFORNIA,02,ENSENADA,02001,Lagunita El Ciprés,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6077739,31.8149906
Branta canadensis,"ganso canadiense, ganso canadiense mayor",BAJA CALIFORNIA,02,MEXICALI,02002,Río Hardy--Carretera 4,MEXICO / BAJA CALIFORNIA / MEXICALI,-115.305861,32.2734408
Branta bernicla,ganso de collar,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahia San Quintin--Pedregal,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9630108,30.4626105
Brachyramphus marmoratus,alca marmoleada,BAJA CALIFORNIA,02,ENSENADA,02001,Puerto Ensenada,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6256237,31.8517525
Botaurus pinnatus caribaeus,avetoro neotropical,VERACRUZ DE IGNACIO DE LA LLAVE,30,TECOLUTLA,30158,2 MI W DE TECOLUTLA,MEXICO / VERACRUZ DE IGNACIO DE LA LLAVE,-97.05,20.4833333
Botaurus pinnatus,avetoro neotropical,CAMPECHE,04,PALIZADA,04007,"Avenida Ignacio Ramírez, Palizada MX-CAMP 18.25592, -92.09994",MEXICO / CAMPECHE / PALIZADA,-92.099939,18.255921
Botaurus lentiginosus,avetoro norteño,BAJA CALIFORNIA,02,ENSENADA,02001,MX-BCN-Ensenada (Estero Punta Banda),MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6117318,31.7685622
Bombycilla cedrorum,"ampelis chinito, chinito",AGUASCALIENTES,01,AGUASCALIENTES,01001,Aguascalientes mexico,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.259231,21.86853
Bolborhynchus lineola,"perico barrado, periquito barrado",CHIAPAS,07,LA TRINITARIA,07099,PN Lagunas de Montebello--Sendero Laguna Pojoj,MEXICO / CHIAPAS / LA TRINITARIA,-91.6739065,16.0997026
Basilinna xantusii,"zafiro bajacaliforniano, zafiro de Xantus",BAJA CALIFORNIA,02,SAN QUINTIN,02006,San José del Rancho,MEXICO / BAJA CALIFORNIA,-115.7416667,30.9705556
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,3 km E La Congoja,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.53333,22.16667
Basileuterus rufifrons salvini,chipe gorra rufa,CHIAPAS,07,OCOSINGO,07059,LAGUNA OCOTAL,MEXICO / CHIAPAS,-91.4366667,16.8116667
Basileuterus rufifrons rufifrons,chipe gorra rufa,CHIAPAS,07,LA TRINITARIA,07099,"RANCHO SANTA ROSA, 50 KM ESE COMITAN",MEXICO / CHIAPAS,-92,15.8783333
Basileuterus rufifrons jouyi,chipe gorra rufa,HIDALGO,13,JACALA DE LEDEZMA,13031,Jacala,MEXICO / HIDALGO,-99.1883333,21.0083333
Basileuterus rufifrons dugesi,chipe gorra rufa,DURANGO,10,SAN DIMAS,10026,0.5 MI W REVOLCADEROS,MEXICO / DURANGO,-105.8483857,23.60917
Basileuterus rufifrons caudatus,chipe gorra rufa,CHIHUAHUA,08,URIQUE,08065,HACIENDA DE SAN RAFAEL,MEXICO / CHIHUAHUA,-107.89,27.4966667
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",AGUASCALIENTES,01,CALVILLO,01003,Sierra Fría - Entrada el Pinal,MEXICO / AGUASCALIENTES / CALVILLO,-102.740156,22.029854
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",BAJA CALIFORNIA,02,SAN QUINTIN,02006,Hamilton Ranch (historical),MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9634512,30.7464019
Basileuterus culicivorus flavescens,chipe corona dorada,JALISCO,14,CASIMIRO CASTILLO,14021,"PUERTO LOS MAZOS, SIERRA DE MANANTLAN",MEXICO / JALISCO,-104.4533333,19.6916667
Basileuterus culicivorus culicivorus,chipe corona dorada,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada14,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3065,16.2066389
Basileuterus culicivorus brasierii,chipe corona dorada,HIDALGO,13,MOLANGO DE ESCAMILLA,13042,"MOLANGO, 4 KM N, LAGO DE ATEZCA",MEXICO / HIDALGO,-98.7466667,20.805
Basileuterus culicivorus,"chipe cejas negras, chipe corona dorada",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Basileuterus belli scitulus,chipe ceja dorada,CHIAPAS,07,UNION JUAREZ,07105,"VOLCáN TACANá, CHIQUIHUITE",MEXICO / CHIAPAS,-92.0833333,15.0666667
Basileuterus belli clarus,chipe ceja dorada,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Omiltemi,MEXICO / GUERRERO,-99.6666667,17.55
Basileuterus belli belli,chipe ceja dorada,CIUDAD DE MEXICO,09,TLALPAN,09012,CONTRERAS,MEXICO / DISTRITO FEDERAL,-99.2266667,19.305
Basileuterus belli bateli,chipe ceja dorada,CIUDAD DE MEXICO,09,CUAJIMALPA DE MORELOS,09004,DESIERTO DE LOS LEONES,MEXICO / DISTRITO FEDERAL,-99.3333333,19.255
Basileuterus belli,chipe cejas doradas,CHIAPAS,07,CACAHOATAN,07015,Benito Juarez el Plan 026,MEXICO / CHIAPAS / CACAHOATAN,-92.14638,15.08608
Bartramia longicauda,zarapito ganga,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Villas del Vergel, Aguascalientes",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2975825,21.9092616
Baeolophus wollweberi,carbonero embridado,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,Ejido Rincón de Romos.,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.56757,22.1756783
Baeolophus inornatus,"carbonero encinero, carbonero sencillo",BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Baeolophus atricristatus,carbonero cresta negra,CHIHUAHUA,08,GUACHOCHI,08027,"15 MI S, 6 MI E CREEL",MEXICO / CHIHUAHUA,-107.4766667,27.5716667
Aythya valisineria,pato coacoxtle,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Rodolfo Landeros Gallegos, 20290 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2875021,21.8514673
Aythya marila,pato boludo mayor,BAJA CALIFORNIA,02,ENSENADA,02001,MX-BCN-Ensenada (Estero Punta Banda),MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6117318,31.7685622
Aythya collaris,pato pico anillado,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,San Jose de Gracia,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.414722,22.151
Aythya americana,pato cabeza roja,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Desarrollo Especial Parque Ecológico el Cedazo, Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2589652,21.867575
Aythya affinis,pato boludo menor,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Parque Ecológico el Cedazo, Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2571248,21.8688762
Automolus ochrolaemus cervinigularis,breñero garganta pálida,CHIAPAS,07,CINTALAPA,07017,Rancho Alegre,MEXICO / CHIAPAS,-93.72,16.6916667
Automolus ochrolaemus,"breñero garganta pálida, musguero garganta pálida",CAMPECHE,04,CALAKMUL,04010,"Dos Naciones, 1.6 km. al Norte Poblado",MEXICO / CAMPECHE / CALAKMUL,-89.3622222,17.9836111
Auriparus flaviceps ornatus,baloncillo,AGUASCALIENTES,01,TEPEZALA,01009,2MI E TEPEZALA,MEXICO / AGUASCALIENTES,-102.15,22.2233333
Auriparus flaviceps lamprocephalus,baloncillo,BAJA CALIFORNIA,02,TIJUANA,02004,Santa Anita,MEXICO / BAJA CALIFORNIA,-116.795,32.3633333
Auriparus flaviceps hidalgensis,baloncillo,HIDALGO,13,SAN AGUSTIN METZQUITITLAN,13036,"3 KM S RIO MILPILLAS, 7 KM S METZQUITITLAN",MEXICO / HIDALGO,-98.6316667,20.465
Auriparus flaviceps flaviceps,baloncillo,BAJA CALIFORNIA,02,SAN QUINTIN,02006,MISION SANTA GERTRUDIS,MEXICO / BAJA CALIFORNIA,-115.9133333,30.5583333
Auriparus flaviceps acaciarum,baloncillo,BAJA CALIFORNIA,02,MEXICALI,02002,COLORADO RIVER; 20MI S PILOT KNOB,MEXICO / BAJA CALIFORNIA,-114.8,32.55
Auriparus flaviceps,baloncillo,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Aulacorhynchus prasinus prasinus,tucaneta verde,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF4,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3065833,16.2008333
Aulacorhynchus prasinus,"tucancillo verde, tucaneta verde",CAMPECHE,04,CALAKMUL,04010,Península de Yucatán,MEXICO / CAMPECHE / CALAKMUL,-89.3985283,18.806656
Attila spadiceus pacificus,atila,COLIMA,06,MANZANILLO,06007,"LAJUELA 1 MI E, CIHUATLAN",MEXICO / COLIMA,-104.5333333,19.2333333
Attila spadiceus gaumeri,atila,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Attila spadiceus cozumelae,atila,QUINTANA ROO,23,COZUMEL,23001,Cozumel,MEXICO / QUINTANA ROO,-86.9416667,20.5066667
Attila spadiceus,"Atila, mosquero atila",CAMPECHE,04,CANDELARIA,04011,"Campeche, MX (17.989, -90.299)",MEXICO / CAMPECHE / CANDELARIA,-90.2985587,17.98888
Atticora pileata,golondrina gorra negra,CHIAPAS,07,UNION JUAREZ,07105,"Volcán Tacaná, por Río Malá",MEXICO / CHIAPAS / UNION JUAREZ,-92.0902778,15.075
Atlapetes pileatus pileatus,atlapetes gorra rufa,CIUDAD DE MEXICO,09,TLALPAN,09012,"CERRO EL CAPULIN, AJUSCO",MEXICO / DISTRITO FEDERAL,-99.2666667,19.1483333
Atlapetes pileatus dilutus,atlapetes gorra rufa,CHIHUAHUA,08,RIVA PALACIO,08054,JESUS MARIA,MEXICO / CHIHUAHUA,-106.4716667,28.5183333
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",CHIAPAS,07,TAPACHULA,07089,"verbatimlocality: Mexico, Sierra",MEXICO,-92.283333,14.866667
Atlapetes albinucha gutturalis,atlapetes garganta amarilla,CHIAPAS,07,VILLA CORZO,07107,"9 MI SE, 10 MI NE TONALá",MEXICO / CHIAPAS,-93.55,16.1183333
Atlapetes albinucha albinucha,atlapetes nuca blanca,CHIAPAS,07,LA TRINITARIA,07099,"Santa Rosa, Comitán",MEXICO / CHIAPAS,-92,15.9533333
Atlapetes albinucha,"atlapetes nuca blanca, rascador nuca blanca",CHIAPAS,07,CACAHOATAN,07015,Benito Juarez el Plan,MEXICO / CHIAPAS / CACAHOATAN,-92.1484124,15.0871128
Athene cunicularia,tecolote llanero,AGUASCALIENTES,01,AGUASCALIENTES,01001,Calle El Molino,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3157382,21.9353428
Aspatha gularis,momoto garganta azul,CHIAPAS,07,UNION JUAREZ,07105,CANTON CHIQUIHUITE P168,MEXICO / CHIAPAS / UNION JUAREZ,-92.10799,15.09471
Asio stygius lambi,búho cara oscura,CHIHUAHUA,08,ASCENSION,08005,"BARRANCA DEL COBRE, EL MUERTO",MEXICO / CHIHUAHUA,-106.9183333,31.1183333
Asio stygius,búho cara oscura,CHIAPAS,07,CACAHOATAN,07015,Volcán del Tacaná,MEXICO / CHIAPAS / CACAHOATAN,-92.1102889,15.1305833
Asio otus wilsonianus,búho cara café,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SAN ANDRES,MEXICO / BAJA CALIFORNIA,-114.25,28.7166667
Asio otus,"búho cara café, búho cara canela",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Asio flammeus flammeus,búho cuerno corto,HIDALGO,13,PACHUCA DE SOTO,13048,pachuca,MEXICO / HIDALGO,-98.745,20.125
