nombrecomun,TOTAL_RECORDED_SPECIES_BY_COMMON_NAME
halcón fajado,8236
papamoscas yucateco,8228
tirano dorso negro,8226
aguililla negra mayor,8154
"mirlo cuello canela, mirlo cuello rufo",8074
carbonero embridado,8056
charrán mínimo,8014
"bolsero cola amarilla, calandria cola amarilla",7962
"agachona común, agachona norteamericana",7908
cuclillo terrestre,7794
negreta nuca blanca,7720
gorrión de Brewer,7638
perlita sinaloense,7610
"güitío pecho rufo, hormiguero pepito",7448
"cuervo americano, cuervo norteamericano",7390
chipe cara roja,7370
carpintero café,7342
"saltón picudo, soterillo picudo",7190
cuclillo pico amarillo,7140
matraca barrada,7062
aguililla pecho rojo,7056
gavilán pico de gancho,6996
vireo ojos rojos,6936
"reyezuelo corona amarilla, reyezuelo de oro",6892
golondrina ribereña,6890
chipe de Virginia,6858
"pájaro estaca, pájaro estaca norteño",6824
"colibrí cola hendida, colibrí tijereta mexicano",6728
gorrión chapulín,6724
pijije canelo,6690
pava cojolita,6634
gaviota de Bonaparte,6622
"atlapetes rayas verdes, rascador cejas verdes",6616
falaropo pico largo,6610
"mosquero saucero, papamoscas saucero",6594
matraca del Balsas,6554
"papamoscas boreal, pibí boreal",6546
"chara pecho gris neovolcánica, chara transvolcánica",6526
"colibrí ermitaño enano, ermitaño enano",6438
playero zancón,6412
chipe patilludo,6384
"codorniz chiquiri, codorniz de Gambel",6370
zumbador mexicano,6334
"picurero bosquero, saltador garganta ocre",6254
"bajapalos enano, sita enana",6252
fandanguero morado,6212
"esmeralda mexicana, esmeralda occidental",6162
cuclillo manglero,6132
cuicacoche pico largo,6086
"colibrí ermitaño mesoamericano, colibrí ermitaño pico largo, ermitaño mexicano",6070
tecolote colimense,6020
tórtola azul,5882
"tangara rojinegra, tangara sanguinolenta",5852
zorzal de Frantzius,5806
"piranga cabeza roja, tangara cabeza roja",5792
tirano tijereta gris,5762
"mosquero pinero, papamoscas pinero",5726
chipe flancos castaños,5704
camea,5658
"rascador de collar, toquí de collar",5656
chipe gusanero,5600
tapacaminos cuerporruín mexicano,5536
codorniz silbadora,5522
zacatonero embridado,5430
"junco ojo oscuro, junco ojos negros",5412
"esmeralda de Cozumel, esmeralda de Isla Cozumel",5328
paloma colorada,5324
"cabezón mexicano, mosquero-cabezón mexicano",5294
paíño negro,5266
picogrueso encapuchado,5226
"chipe ala azul, chipe alas azules",5142
hormiguero cholino maya,5122
picotuerto rojo,5110
"mosquerito pico plano, mosquero de anteojos",5100
gavilán zancón,5082
"mosquerito pico chato, mosquero pico chato",5064
"piranga yucateca, tangara yucateca",5062
carpintero de Arizona,5046
matraca yucateca,5042
"chipe rabadilla castaña, chipe rabadilla rufa",5014
"mosquerito ocre, mosquero ocrillo",4976
achichilique pico naranja,4960
"mosquero garganta blanca, papamoscas garganta blanca",4880
avetoro menor,4760
trepatroncos sepia,4750
carpintero corona gris,4742
charrán común,4724
codorniz escamosa,4714
zacatonero de Botteri,4714
pajuil,4704
"vireón arlequín, vireón pecho castaño",4702
zacatonero pecho negro,4660
paloma caribeña,4656
titira pico negro,4650
colibrí lucifer,4604
gorrión alas blancas,4600
"zacatonero ala rufa, zacatonero hombros canela",4494
granatelo mexicano,4460
pardela mexicana,4358
picogordo cara negra,4356
picogordo cuello rojo,4326
cuicacoche californiano,4304
martín pescador enano,4276
"chivirín modesto, saltapared chinchibul",4274
colibrí garganta verde,4246
"colimbo del pacífico, colimbo pacífico",4236
mulato pecho blanco,4138
"mascarita bajacaliforniana, mascarita peninsular",4126
"manaquín cabeza roja, saltarín cabeza roja",4024
charrán negro,4020
clorofonia corona azul,3998
"atlapetes nuca blanca, rascador nuca blanca",3990
vireo gorra negra,3974
playero semipalmeado,3914
gaviota de Franklin,3908
mirlo negro,3904
mascarita matorralera,3892
"trepatroncos canelo, trepatroncos rojizo",3886
rascón costero del Pacífico,3862
trepatroncos corona rayada,3858
tangara cabeza gris,3854
"bolsero pecho manchado, calandria pecho moteado",3852
alcaraván americano,3848
"tapacamino tu-cuchillo, tapacaminos tucuchillo",3828
perlita yucateca,3812
mosquero real,3812
vuelvepiedras negro,3792
semillero pecho canela,3790
"mosquero amarillento, papamoscas amarillo sureño",3772
"chara de Beechy, chara sinaloense",3728
"vireo de Cozumel, vireo de Isla Cozumel",3716
chara unicolor,3688
codorniz coluda transvolcánica,3686
paloma corona blanca,3634
"vireo gorra café, vireo gorra parda",3616
granatelo yucateco,3600
paloma triste,3598
guajolote ocelado,3538
eufonia olivácea,3534
ganso de collar,3520
falaropo cuello rojo,3516
chipe dorado,3486
"playero canuto, playero rojo",3456
zopilote rey,3442
playero de Baird,3434
matraca chiapaneca,3390
"chivirín ceja rufa, saltapared cejas canela",3390
"paloma cara blanca, paloma-perdiz cara blanca",3382
"breñero cejudo, musguero trepador",3372
"colibrí ala castaña, colibrí multicolor",3322
tinamú jamuey,3312
hocofaisán,3308
"chivirín sabanero, saltapared sabanero",3306
zorzal corona negra,3254
chorlo de collar,3254
milano tijereta,3232
"tangara cuitlacoche, tangara pecho rosa",3142
"coa cola oscura, trogón cola oscura",3126
carpintero cara negra,3116
ganso blanco,3106
carpintero californiano,3092
"papamoscas pirata, papamoscas rayado chico",3072
"fandanguero cola larga, fandanguero tuxtleño",3070
"paloma canela, paloma-perdiz rojiza",3068
"carbonero encinero, carbonero sencillo",3054
cuclillo faisán,3002
"paloma cabeza gris, paloma cabeza ploma",2996
perlita tropical,2976
tangara capucha dorada,2964
chipe garganta naranja,2944
golondrina gorra negra,2940
"picogordo azulnegro, picogordo negro",2938
"codorniz barrada, codorniz rayada",2910
vencejo cuello castaño,2888
vireón esmeralda,2878
"rascador enmascarado, toquí enmascarado",2858
"papamoscas jaspeado, papamoscas mexicano",2856
carpintero castaño,2854
vencejo nuca blanca,2838
"jacamar cola canela, jacamar cola rufa",2834
"perico ala amarilla, periquito alas amarillas",2828
oropéndola cabeza castaña,2814
chipe de collar,2808
"hormiguero cantor, hormiguero tirano",2792
aguililla blanca,2768
trepatroncos barrado,2766
halcón selvático barrado,2764
momoto garganta azul,2728
"carpintero nuca roja, chupasavia nuca roja",2724
playero pectoral,2716
zacatonero californiano,2688
guajolote norteño,2686
cerceta común de lista Verde,2658
tecolote sapo,2642
tecolote serrano,2632
"colibrí garganta rayada, zumbador garganta rayada",2622
"huilota caribeña, paloma aurita",2594
"picolezna común, picolezna liso",2580
paíño mínimo,2576
rabijunco pico rojo,2552
vencejo negro,2548
ganso careto mayor,2542
zacatonero de Cassin,2542
semillero variable,2524
avetoro neotropical,2502
"manaquín cola larga, saltarín toledo",2490
pato coacoxtle,2490
